,Date_Published,Locality,Type_of_Property,Price
156,April,DINGLI,maisonette,146000
157,April,DINGLI,terraced,180000
159,April,FGURA,Apartment,90000
160,April,FGURA,penthouse,125000
161,April,FGURA,apartment,115000
162,April,FGURA,apartment,90000
163,April,FGURA,apartment,115000
164,April,FGURA,apartment,90000
165,April,FGURA,maisonette,150000
166,April,FGURA,maisonette,130000
167,April,FGURA,apartment,105000
168,April,FGURA,Penthouse,168000
169,April,FGURA,Penthouse,129000
170,April,FGURA,apartments,63000
171,April,FGURA,house,200000
172,April,FLEUR,apartment,127000
173,April,FLEUR,penthouse,185000
174,April,FORT,apartment,518000
175,April,GĦARGĦUR,apartment,180000
176,April,GĦARGĦUR,character,173000
177,April,GĦARGĦUR,apartment,150000
178,April,GĦARGĦUR,apartments,164000
180,April,GĦARGĦUR,apartment,195000
181,April,GĦAXAQ,farmhouse,995000
182,April,GĦAXAQ,penthouse,97000
183,April,GOZO GĦARB,character,258000
185,April,GOZO MARSALFORN,apartment,70000
186,April,GOZO MARSALFORN,apartments,80000
187,April,GOZO MARSALFORN,apartment,80000
188,April,GOZO MARSALFORN,apartment,170000
189,April,GOZO MUNXAR,Plot,205000
190,April,GOZO NADUR,farmhouse,450000
191,April,GOZO NADUR,apartment,110000
192,April,GOZO NADUR,maisonette,155000
193,April,GOZO NADUR,apartment,189000
194,April,GOZO NADUR,apartment,110000
195,April,GOZO NADUR,apartment,174000
196,April,GOZO NADUR,character,580000
197,April,GOZO QALA,apartment,72000
198,April,GOZO QALA,penthouse,245000
199,April,GOZO QALA,apartment,86000
200,April,GOZO QALA,apartment,123000
201,April,GOZO SAN,house,375000
202,April,GOZO VICTORIA,maisonette,250000
204,April,GOZO XAGĦRA,house,180000
205,April,GOZO XAGĦRA,farmhouse,190000
206,April,GOZO XEWKIJA,maisonette,77000
207,April,GOZO XLENDI,apartments,350000
208,April,GOZO XLENDI,apartment,149500
209,April,GOZO ŻEBBUĠ,Apartment,360000
210,April,GOZO ŻEBBUĠ,apartment,169000
212,April,GOZO ŻEBBUĠ,apartments,218000
213,April,GOZO ŻEBBUĠ,townhouse,255000
214,April,GOZO Avery,apartment,85000
215,April,GOZO Best,maisonettes,60000
217,April,GOZO Reduced,Apartment,195000
218,April,GUARDAMANGIA,apartment,101000
219,April,GUARDAMANGIA,apartments,115000
221,April,GUDJA,apartment,105000
222,April,GUDJA,apartments,87500
223,April,GUDJA,house,295000
224,April,GŻIRA,penthouse,218000
226,April,GŻIRA,apartment,129000
227,April,GŻIRA,apartment,196000
229,April,GŻIRA,Penthouse,230000
231,April,GŻIRA,apartment,245000
232,April,ĦAMRUN,house,180000
234,April,ĦAMRUN,apartment,95700
235,April,IKLIN,apartment,170000
237,April,KALKARA,house,264750
238,April,KALKARA,terraced,185000
240,April,KAPPARA,villa,650000
241,April,KAPPARA,villa,485000
242,April,KAPPARA,villa,485000
243,April,KIRKOP,character,328000
244,April,KIRKOP,maisonette,114000
245,April,KIRKOP,Penthouse,99000
246,April,LIJA,character,275000
247,April,LIJA,villa,475000
248,April,LIJA,character,19000
250,April,LIJA,maisonette,189000
251,April,LIJA,apartment,172000
255,April,LUQA,townhouse,320000
256,April,MADLIENA,apartment,299500
257,April,MADLIENA,villa,940000
258,April,MADLIENA,bungalow,1332000
259,April,MADLIENA,apartment,262000
260,April,MANIKATA,apartment,164000
261,April,MANIKATA,villa,730000
262,April,MANIKATA,house,310000
263,April,MARSA,maisonette,60000
265,April,MARSASCALA,Maisonette,133000
266,April,MARSASCALA,penthouse,97000
267,April,MARSASCALA,apartment,90000
268,April,MARSASCALA,apartment,105000
269,April,MARSASCALA,house,385000
270,April,MARSASCALA,apartment,98000
271,April,MARSASCALA,apartment,197000
272,April,MARSASCALA,maisonette,170000
273,April,MARSASCALA,maisonette,135500
274,April,MARSASCALA,apartment,75000
275,April,MARSASCALA,maisonette,225000
276,April,MARSASCALA,apartment,135000
278,April,MARSASCALA,penthouse,348500
279,April,MARSASCALA,apartments,93700
280,April,MARSASCALA,apartment,64000
281,April,MARSASCALA,penthouse,148000
282,April,MARSASCALA,maisonette,198000
283,April,MARSASCALA,apartment,235000
284,April,MARSASCALA,house,281500
285,April,MARSASCALA,apartment,123500
286,April,MARSASCALA,penthouse,150000
287,April,MARSASCALA,house,240000
288,April,MARSAXLOKK,maisonette,220000
289,April,MARSAXLOKK,apartment,118000
290,April,MELLIEĦA,flat,210000
291,April,MELLIEĦA,maisonette,234000
292,April,MELLIEĦA,house,395000
293,April,MELLIEĦA,bungalow,690000
294,April,MELLIEĦA,apartment,650000
295,April,MELLIEĦA,Apartment,117000
296,April,MELLIEĦA,apartment,285000
298,April,MELLIEĦA,house,365000
299,April,MELLIEĦA,maisonette,180000
301,April,MELLIEĦA,apartment,142000
302,April,MELLIEĦA,Penthouse,280000
303,April,MELLIEĦA,maisonette,155000
304,April,MELLIEĦA,maisonette,210000
305,April,MELLIEĦA,maisonette,240000
306,April,MELLIEĦA,penthouse,135000
307,April,MELLIEĦA,apartment,115000
308,April,MELLIEĦA,penthouse,120000
309,April,MELLIEĦA,apartment,198000
311,April,MĠARR,penthouse,190000
313,April,MĠARR,penthouse,198000
314,April,MĠARR,apartment,158000
315,April,MĠARR,flat,117000
316,April,MOSTA,Penthouse,470000
317,April,MOSTA,house,319000
318,April,MOSTA,villa,680000
320,April,MOSTA,apartment,165000
321,April,MOSTA,character,141000
322,April,MOSTA,character,345000
323,April,MOSTA,maisonette,215000
324,April,MOSTA,penthouse,225000
325,April,MOSTA,character,209000
326,April,MOSTA,apartment,129000
327,April,MOSTA,maisonette,225000
328,April,MOSTA,villa,450000
329,April,MOSTA,character,245000
330,April,MOSTA,house,319000
331,April,MOSTA,flat,148000
334,April,MOSTA,Maisonette,172000
335,April,MOSTA,Maisonette,155000
336,April,MOSTA,Apartment,140000
337,April,MOSTA,apartments,95000
338,April,MOSTA,apartment,165000
339,April,MOSTA,penthouse,159000
340,April,MOSTA,apartment,184000
343,April,MOSTA,house,330000
345,April,MOSTA,character,141000
347,April,MOSTA,house,330000
348,April,MOSTA,maisonette,186000
350,April,MOSTA,Townhouse,280000
351,April,MOSTA,character,335000
352,April,MOSTA,character,239000
354,April,MQABBA,house,326000
355,April,MQABBA,penthouse,96000
356,April,MQABBA,apartment,96500
358,April,MSIDA,apartment,125000
359,April,MSIDA,house,340000
360,April,MSIDA,apartments,120000
361,April,MSIDA,apartment,110000
362,April,MSIDA,Apartment,100000
365,April,MSIDA,apartment,79000
367,April,MSIDA,apartment,135000
368,April,MSIDA,penthouse,110000
369,April,MSIDA,apartment,110000
370,April,MSIDA,apartment,96000
372,April,MSIDA,penthouse,152000
373,April,NAXXAR,Apartment,150000
374,April,NAXXAR,apartment,205000
375,April,NAXXAR,character,718000
376,April,NAXXAR,character,710000
377,April,NAXXAR,character,980000
378,April,NAXXAR,character,875000
381,April,NAXXAR,apartment,115000
383,April,NAXXAR,villa,540000
384,April,NAXXAR,maisonette,395000
385,April,NAXXAR,townhouse,950000
386,April,PAOLA,warehouse,200000
387,April,PAOLA,house,270300
388,April,PAOLA,house,285000
389,April,PAOLA,maisonette,130000
390,April,PAOLA,apartments,107000
391,April,PAOLA,penthouse,85000
392,April,PAOLA,house,110000
393,April,PIETÀ,Apartment,85000
394,April,PIETÀ,townhouse,265000
397,April,PORTOMASO,apartment,483000
398,April,PWALES,apartment,115000
399,April,QAWRA,apartment,75000
401,April,QAWRA,penthouse,385000
402,April,QAWRA,maisonette,185000
403,April,QAWRA,Apartment,110000
404,April,QAWRA,Apartments,87000
405,April,QAWRA,apartment,86500
406,April,QAWRA,penthouse,400000
407,April,QAWRA,maisonette,220000
408,April,QAWRA,apartment,135000
409,April,QAWRA,apartment,107000
410,April,QAWRA,apartment,96000
411,April,QAWRA,Penthouse,165000
412,April,QAWRA,Penthouse,340000
413,April,QAWRA,penthouse,180000
414,April,QAWRA,penthouse,320000
415,April,QAWRA,apartment,100000
416,April,QAWRA,penthouse,180000
417,April,QAWRA,apartments,17800
420,April,QORMI,penthouse,238000
422,April,QORMI,apartment,107000
423,April,QORMI,apartments,126000
424,April,QORMI,maisonette,195000
425,April,QORMI,house,250000
428,April,RABAT,apartment,370000
429,April,RABAT,apartment,170000
430,April,RABAT,character,200000
431,April,RABAT,penthouse,450000
432,April,RABAT,character,270000
435,April,RABAT,apartment,79000
436,April,RABAT,villa,550000
439,April,SALINA,Farmhouse,650000
440,April,SAN ĠWANN,maisonette,125000
442,April,SAN ĠWANN,Apartments,123000
443,April,SAN ĠWANN,apartment,103000
445,April,SAN ĠWANN,apartment,150000
446,April,SAN ĠWANN,apartment,70000
448,April,SAN ĠWANN,apartments,138000
449,April,SAN ĠWANN,Penthouse,197500
450,April,SAN ĠWANN,apartment,72000
451,April,SAN ĠWANN,house,425000
452,April,SAN ĠWANN,apartment,103000
453,April,SAN ĠWANN,apartment,153000
454,April,SAN ĠWANN,apartment,128000
455,April,SAN ĠWANN,apartment,125000
457,April,SAN PAWL,apartment,214000
459,April,SAN PAWL,apartment,214000
460,April,SAN PAWL,villa,585000
461,April,SAN PAWL,maisonettes,225000
462,April,SANTA LUĊIJA,house,310000
463,April,SANTA MARIA,bungalow,595000
464,April,SANTA MARIA,bungalow,690000
466,April,SENGLEA,townhouse,35000
467,April,SIĠĠIEWI,townhouse,180000
468,April,SIĠĠIEWI,maisonette,182000
470,April,SIĠĠIEWI,character,325000
471,April,SIĠĠIEWI,apartment,175
472,April,SIĠĠIEWI,character,950000
473,April,SIĠĠIEWI,house,218000
474,April,SIĠĠIEWI,apartments,127000
475,April,SIĠĠIEWI,maisonette,120000
476,April,SLIEMA,apartment,475000
477,April,SLIEMA,apartment,640000
478,April,SLIEMA,apartment,475000
479,April,SLIEMA,apartment,640000
480,April,SLIEMA,apartment,500000
481,April,SLIEMA,apartment,530000
486,April,SLIEMA,apartment,640000
488,April,SLIEMA,apartment,330000
489,April,SLIEMA,apartment,220000
490,April,SLIEMA,penthouse,750000
491,April,SLIEMA,penthouse,645000
493,April,SLIEMA,apartment,800000
494,April,SLIEMA,penthouse,326000
495,April,SLIEMA,apartment,319000
496,April,SLIEMA,penthouse,400000
497,April,SLIEMA,maisonette,260000
498,April,SLIEMA,townhouse,450000
499,April,SLIEMA,townhouse,495000
502,April,SLIEMA,apartment,290000
503,April,SLIEMA,apartments,340000
504,April,SLIEMA,apartment,220000
505,April,SLIEMA,apartment,220000
507,April,SLIEMA,apartment,655000
508,April,SLIEMA,apartment,650000
509,April,SLIEMA,apartments,278000
511,April,SLIEMA,apartment,278000
515,April,SLIEMA,penthouse,330000
517,April,SLIEMA,apartment,290000
518,April,SLIEMA,apartment,198000
519,April,SLIEMA,townhouse,385000
520,April,SLIEMA,Townhouse,290000
521,April,SLIEMA,apartment,165000
522,April,SLIEMA,apartment,240000
523,April,SLIEMA,maisonette,294000
524,April,SLIEMA,penthouse,415000
525,April,SLIEMA,apartment,190000
526,April,SLIEMA,maisonette,175000
528,April,ST JULIANS,apartment,205000
530,April,ST JULIANS,apartment,233000
531,April,ST JULIANS,apartment,205000
532,April,ST JULIANS,apartment,155000
534,April,ST JULIANS,apartment,239000
535,April,ST JULIANS,apartment,325000
537,April,ST JULIANS,maisonette,295000
538,April,ST JULIANS,Penthouse,330000
540,April,ST JULIANS,villa,850000
541,April,ST JULIANS,apartment,425000
542,April,ST JULIANS,bungalow,558000
543,April,ST JULIANS,apartment,185000
544,April,ST JULIANS,apartment,205000
545,April,ST JULIANS,character,460000
546,April,ST JULIANS,apartment,158000
547,April,ST PAUL,apartment,116000
548,April,ST PAUL,penthouse,285000
549,April,ST PAUL,apartment,320000
550,April,ST PAUL,maisonette,165000
551,April,ST PAUL,apartment,109000
552,April,ST PAUL,apartment,135000
553,April,ST PAUL,penthouse,345000
554,April,ST PAUL,penthouse,179000
555,April,ST PAUL,maisonette,162000
556,April,ST PAUL,apartments,122000
557,April,ST PAUL,penthouse,194250
558,April,ST PAUL,plot,690000
559,April,ST PAUL,apartment,234000
560,April,ST PAUL,apartment,195000
561,April,ST PAUL,apartment,235000
562,April,ST PAUL,apartment,90000
563,April,ST PAUL,Townhouse,210000
564,April,ST VENERA,apartment,105000
566,April,ST VENERA,house,190000
567,April,ST VENERA,house,340000
568,April,ST VENERA,apartments,110000
569,April,ST VENERA,maisonette,128000
570,April,ST VENERA,penthouse,94000
571,April,ST VENERA,maisonette,183000
574,April,SWATAR,apartment,650
576,April,SWIEQI,villa,525000
577,April,SWIEQI,maisonette,295000
578,April,SWIEQI,apartments,165000
579,April,SWIEQI,apartment,217000
580,April,SWIEQI,apartment,160000
581,April,SWIEQI,apartment,182000
582,April,SWIEQI,house,350000
584,April,SWIEQI,apartment,217000
585,April,SWIEQI,maisonette,250000
586,April,SWIEQI,apartment,217000
587,April,SWIEQI,apartment,185000
588,April,SWIEQI,villa,525000
590,April,SWIEQI,house,420000
593,April,SWIEQI,villa,605000
594,April,TA,apartment,170000
596,April,TA,apartment,850000
597,April,TA,apartment,295000
598,April,TA,villa,850000
599,April,TA,apartments,220000
600,April,TAL IBRAĠ,apartment,295000
601,April,TAL IBRAĠ,penthouse,315000
602,April,TAL IBRAĠ,apartment,255000
603,April,TAL IBRAĠ,apartment,163000
604,April,TAL IBRAĠ,penthouse,358000
606,April,TAL IBRAĠ,apartment,98000
607,April,TARXIEN,maisonette,113000
609,April,TARXIEN,flat,95000
611,April,TARXIEN,maisonette,99000
612,April,TARXIEN,house,245000
613,April,TARXIEN,Townhouse,125000
615,April,TARXIEN,townhouse,370000
616,April,TARXIEN,townhouse,139000
617,April,THE,apartments,270000
619,April,THE,villa,400000
620,April,THE,villa,650000
621,April,THE,apartment,205000
622,April,THE,villa,510000
623,April,VALLETTA,townhouse,230000
624,April,VALLETTA,apartment,330000
625,April,VALLETTA,apartment,75000
627,April,VALLETTA,penthouse,690000
628,April,VALLETTA,apartment,295000
629,April,VICTORIA,bungalow,1600000
630,April,VITTORIOSA,apartment,335000
631,April,XEMXIJA,penthouse,280000
632,April,XEMXIJA,penthouse,350000
633,April,XEMXIJA,apartment,129500
634,April,XEMXIJA,apartment,123000
635,April,XEMXIJA,maisonette,138000
636,April,XEMXIJA,apartment,307500
637,April,XEMXIJA,maisonette,190000
638,April,XEMXIJA,apartment,98000
640,April,ŻABBAR,maisonette,220000
641,April,ŻABBAR,maisonette,159000
642,April,ŻABBAR,character,303000
643,April,ŻABBAR,penthouse,190000
644,April,ŻABBAR,apartment,87000
645,April,ŻABBAR,Penthouse,105000
646,April,ŻABBAR,house,285000
647,April,ŻABBAR,apartment,105000
648,April,ŻABBAR,house,185950
649,April,ŻABBAR,maisonette,239500
650,April,ŻEBBIEGĦ,penthouse,265000
651,April,ŻEBBIEGĦ,apartment,134000
652,April,ŻEBBUĠ,penthouse,155000
653,April,ŻEBBUĠ,apartment,149000
654,April,ŻEBBUĠ,plot,470000
655,April,ŻEBBUĠ,house,350000
656,April,ŻEBBUĠ,house,315000
657,April,ŻEBBUĠ,house,260000
658,April,ŻEBBUĠ,apartment,12000
659,April,ŻEBBUĠ,apartment,112000
660,April,ŻEBBUĠ,apartment,112000
661,April,ŻEBBUĠ,apartment,96000
662,April,ŻEJTUN,maisonette,123000
663,April,ŻEJTUN,penthouse,175000
664,April,ŻEJTUN,maisonette,85000
665,April,ŻEJTUN,apartment,96000
666,April,ŻEJTUN,house,208500
667,April,ŻEJTUN,townhouse,87000
668,April,ŻURRIEQ,apartment,118000
669,April,ŻURRIEQ,flat,110000
672,April,ŻURRIEQ,penthouse,130500
673,April,ŻURRIEQ,apartment,90000
674,April,ŻURRIEQ,apartment,100000
676,April,ŻURRIEQ,apartment,97000
677,April,ŻURRIEQ,apartment,181000
678,April,ŻURRIEQ,penthouse,160000
679,April,ŻURRIEQ,maisonette,160000
680,April,ŻURRIEQ,Penthouse,170000
681,April,ŻURRIEQ,Townhouse,170000
683,April,ATTARD,penthouse,330000
684,April,BALZAN,apartment,150000
686,April,FGURA,Apartment,90000
687,April,GĦARGĦUR,apartment,180000
688,April,GOZO GĦARB,apartment,85000
689,April,GOZO KERĊEM,farmhouse,300000
691,April,MELLIEĦA,Penthouse,280000
692,April,MOSTA,Apartment,140000
693,April,MSIDA,Apartment,100000
694,April,NAXXAR,clinic,120000
695,April,NAXXAR,Apartment,150000
697,April,SAN ĠWANN,apartment,140000
698,April,SAN PAWL,maisonette,255000
699,April,SLIEMA,apartment,650000
700,April,ST VENERA,apartment,105000
701,April,ŻURRIEQ,house,195000
702,April,BALZAN,apartment,147000
703,April,QAWRA,apartments,75500
704,April,ST JULIANS,Townhouse,375000
705,April,ST VENERA,maisonette,95000
707,April,ŻEBBUĠ,house,953000
708,April,GOZO XAGĦRA,character,170000
709,April,GOZO XLENDI,apartment,80000
710,April,MARSASCALA,apartment,72000
712,April,ST JULIANS,apartment,330000
713,April,ŻEBBUĠ,farmhouse,950000
714,April,BAĦAR IĊ-ĊAGĦAQ,apartment,285000
715,April,BALZAN,apartment,238000
716,April,BALZAN,apartment,150000
717,April,BIRKIRKARA,character,315000
718,April,BIRKIRKARA,flat,90000
719,April,BIRKIRKARA,flat,97000
720,April,BIRKIRKARA,penthouse,125000
721,April,BIRKIRKARA,penthouse,108000
722,April,BUĠIBBA,penthouse,185000
723,April,COSPICUA,townhouse,275000
724,April,COSPICUA,townhouse,275000
726,April,GOZO FONTANA,apartment,99000
727,April,GOZO NADUR,house,345000
728,April,GŻIRA,apartment,185000
729,April,GŻIRA,penthouse,205000
730,April,GŻIRA,maisonette,127500
731,April,MARSASCALA,penthouse,97000
732,April,MARSASCALA,penthouse,146000
734,April,MELLIEĦA,apartment,145000
735,April,MĠARR,maisonette,155000
736,April,MOSTA,character,210000
737,April,MSIDA,flat,88000
738,April,MSIDA,maisonette,287000
739,April,SAN PAWL,apartments,219000
740,April,SENGLEA,apartment,365000
741,April,SLIEMA,apartment,550000
742,April,SLIEMA,apartment,459000
743,April,SLIEMA,apartment,220000
744,April,SLIEMA,apartment,220000
745,April,SLIEMA,penthouse,360000
746,April,ST JULIANS,maisonette,180000
747,April,ST JULIANS,apartment,320000
748,April,ST JULIANS,villa,510000
749,April,TARXIEN,maisonette,280000
750,April,TARXIEN,flat,95000
751,April,TARXIEN,house,250000
752,April,VALLETTA,apartments,400000
753,April,XEMXIJA,apartments,109000
754,April,XEMXIJA,penthouse,280000
755,April,ŻABBAR,maisonette,200000
756,April,ŻEBBUĠ,character,175000
757,April,BAĦRIJA,villa,435000
758,April,GOZO MARSALFORN,apartment,115000
759,April,GOZO QALA,maisonette,105000
761,April,ATTARD,maisonette,130000
763,April,ATTARD,apartments,154000
764,April,ATTARD,maisonette,275000
765,April,ATTARD,apartment,155000
766,April,ATTARD,apartment,163000
767,April,ATTARD,Maisonette,135700
768,April,ATTARD,Maisonette,140000
770,April,ATTARD,penthouse,210000
771,April,ATTARD,Penthouse,215000
772,April,ATTARD,villa,450000
773,April,ATTARD,house,260000
775,April,ATTARD,villa,479000
776,April,ATTARD,house,305000
780,April,BAĦRIJA,villa,435000
781,April,BALZAN,apartment,248000
782,April,BALZAN,apartment,150000
785,April,BALZAN,maisonette,222000
786,April,BALZAN,maisonette,198000
787,April,BALZAN,townhouse,440000
788,April,BALZAN,maisonette,245000
789,April,BALZAN,penthouse,254000
790,April,BALZAN,maisonette,190000
792,April,BALZAN,maisonette,239000
794,April,BIRGUMA,penthouse,229000
795,April,BIRKIRKARA,maisonette,245000
796,April,BIRKIRKARA,plot,600000
798,April,BIRKIRKARA,maisonette,165000
799,April,BIRKIRKARA,apartment,116500
800,April,BIRKIRKARA,store,165000
801,April,BIRKIRKARA,apartment,120000
802,April,BIRKIRKARA,maisonette,177000
803,April,BIRKIRKARA,house,271000
805,April,BIRKIRKARA,apartments,79500
806,April,BIRKIRKARA,Townhouse,250000
807,April,BIRKIRKARA,Townhouse,186000
809,April,BIRKIRKARA,apartment,139500
810,April,BIRKIRKARA,townhouse,70000
811,April,BIRŻEBBUĠA,maisonette,91500
812,April,BIRŻEBBUĠA,penthouse,150000
814,April,BLATA L,Apartment,85000
816,April,BUĠIBBA,apartment,115000
820,April,COSPICUA,maisonette,75000
822,April,DINGLI,farmhouse,370000
823,April,DINGLI,maisonette,146000
824,April,DINGLI,Townhouse,149000
825,April,DINGLI,townhouse,370000
827,April,FGURA,Apartment,90000
828,April,FGURA,apartment,92000
829,April,FGURA,apartment,110000
830,April,FGURA,penthouse,123000
831,April,FGURA,house,380000
832,April,FGURA,apartment,90000
833,April,FGURA,penthouse,100000
834,April,FGURA,maisonette,150000
835,April,FGURA,maisonette,130000
836,April,FGURA,Apartment,97000
837,April,FGURA,apartments,63000
838,April,FGURA,Maisonette,182950
839,April,FGURA,maisonette,158500
840,April,FGURA,house,220000
841,April,FGURA,maisonette,107000
843,April,FLORIANA,apartment,540000
844,April,FORT,apartment,275000
847,April,GĦARGĦUR,apartment,180000
848,April,GĦARGĦUR,apartment,136000
849,April,GĦARGĦUR,character,139000
850,April,GĦARGĦUR,character,137500
851,April,ĦARGĦUR,apartments,
852,April,GĦARGĦUR,apartment,129000
853,April,GĦAXAQ,Farmhouse,995000
854,April,ĦAXAQ,penthouse,97000
855,April,GOZO GĦARB,character,258000
856,April,GOZO GĦARB,Farmhouse,295000
857,April,GOZO GĦARB,character,975000
858,April,GOZO MARSALFORN,apartment,92000
859,April,GOZO MARSALFORN,penthouse,220000
862,April,GOZO NADUR,house,250000
863,April,GOZO NADUR,house,695000
865,April,GOZO NADUR,apartment,110000
866,April,GOZO NADUR,maisonette,225000
867,April,GOZO QALA,penthouse,245000
869,April,GOZO SAN,house,375000
872,April,GOZO XAGĦRA,character,530000
873,April,GOZO XAGĦRA,farmhouse,325000
874,April,GOZO XAGĦRA,character,170000
875,April,GOZO XAGĦRA,character,420000
876,April,GOZO XAGĦRA,maisonette,98000
877,April,GOZO XLENDI,apartment,197000
878,April,GOZO ŻEBBUĠ,apartment,148000
879,April,GOZO ŻEBBUĠ,townhouse,255000
880,April,GOZO ŻEBBUĠ,apartments,218000
881,April,GOZO NADUR,maisonette,155000
883,April,GUDJA,apartments,105000
884,April,GUDJA,house,295000
885,April,GUDJA,apartments,88000
886,April,GŻIRA,maisonette,127500
887,April,GŻIRA,plot,530000
888,April,GŻIRA,apartment,210000
889,April,GŻIRA,apartment,158000
890,April,GŻIRA,apartment,106000
891,April,GŻIRA,apartment,175000
892,April,GŻIRA,penthouse,218000
893,April,GŻIRA,apartment,145000
894,April,GŻIRA,apartment,135000
895,April,ĦAMRUN,apartment,95000
