,Unnamed: 0,Date_Published,Locality,Type_of_Property,Price
82,82,January,MARSASCALA,apartment,160000
83,83,January,MELLIEĦA,villa,1200000
84,84,January,MELLIEĦA,bungalow,1175000
85,85,January,MELLIEĦA,apartment,145000
86,86,January,MELLIEĦA,apartment,170000
87,87,January,MELLIEĦA,apartment,160000
88,88,January,MELLIEĦA,penthouse,275000
89,89,January,MELLIEĦA,maisonette,265000
90,90,January,MELLIEĦA,maisonette,200000
91,91,January,MELLIEĦA,maisonette,200000
92,92,January,MELLIEĦA,townhouse,186500
93,93,January,MELLIEĦA,apartment,129000
94,94,January,MĠARR,apartment,205000
95,95,January,MONTEROSA,plot,650000
96,96,January,MOSTA,house of character of character,345000
97,97,January,MOSTA,maisonette,280000
98,98,January,MOSTA,apartment,175000
99,99,January,MOSTA,apartment,175000
100,100,January,MOSTA,penthouse,165000
101,101,January,MOSTA,character,375000
102,102,January,MOSTA,maisonette,180000
103,103,January,MOSTA,penthouse,160000
104,104,January,MOSTA,penthouse,220000
105,105,January,MOSTA,apartment,145000
106,106,January,MOSTA,apartment,250000
107,107,January,MOSTA,plot,445000
108,108,January,MSIDA,apartment,185000
109,109,January,MSIDA,apartment,179000
110,110,January,MSIDA,maisonette,174000
111,111,January,MSIDA,penthouse,185000
112,112,January,MSIDA,apartment,195000
113,113,January,MTARFA,apartment,260000
114,114,January,MTARFA,penthouse,265000
115,115,January,NAXXAR,maisonette,295000
116,116,January,NAXXAR,apartment,195000
117,117,January,NAXXAR,apartment,185000
118,118,January,NAXXAR,townhouse,265000
119,119,January,NAXXAR,character,265000
120,120,January,PAOLA,apartment,106000
121,121,January,PAOLA,maisonette,165000
122,122,January,PENDER,apartment,535000
123,123,January,PIETÀ,apartment,117000
124,124,January,PIETÀ,apartment,170000
125,125,January,PORTOMASO,apartment,640000
126,126,January,PORTOMASO,apartment,450000
127,127,January,QAWRA,apartment,385000
128,128,January,QAWRA,apartment,285000
129,129,January,QAWRA,apartment,275000
130,130,January,QAWRA,apartment,140000
131,131,January,QAWRA,apartment,295000
132,132,January,QAWRA,apartment,160000
133,133,January,QAWRA,penthouse,290000
134,134,January,QORMI,townhouse,150000
135,135,January,QORMI,apartment,138000
136,136,January,QORMI,townhouse,160000
137,137,January,QORMI,character,155000
138,138,January,QUI,apartment,385000
139,139,January,RABAT,farmhouse,1600000
140,140,January,RABAT,house of character of character,265000
141,141,January,RABAT,penthouse,238000
142,142,January,SAN ĠWANN,villa,650000
143,143,January,SAN ĠWANN,apartment,140000
144,144,January,SENGLEA,townhouse,170000
145,145,January,SENGLEA,bar,960000
146,146,January,SIĠĠIEWI,maisonette,190000
147,147,January,SLIEMA,apartment,330000
148,148,January,SLIEMA,apartment,555000
149,149,January,SLIEMA,townhouse,1400000
150,150,January,SLIEMA,apartment,269000
151,151,January,SLIEMA,maisonette,315000
152,152,January,SLIEMA,townhouse,550000
153,153,January,SLIEMA,apartment,450000
154,154,January,SLIEMA,apartment,360000
155,155,January,SLIEMA,maisonette,410000
156,156,January,SLIEMA,apartment,465000
157,157,January,SLIEMA,apartment,1250000
158,158,January,SLIEMA,townhouse,1400000
159,159,January,SLIEMA,townhouse,225000
160,160,January,SLIEMA,apartment,220000
161,161,January,ST JULIANS,apartment,475000
162,162,January,ST JULIANS,apartment,625000
163,163,January,ST JULIANS,apartment,310000
164,164,January,ST JULIANS,apartment,285000
165,165,January,ST JULIANS,stores,1800000
166,166,January,ST JULIANS,apartment,340000
167,167,January,ST JULIANS,apartment,360000
168,168,January,ST JULIANS,maisonette,350000
169,169,January,ST PAUL,apartment,147000
170,170,January,ST PAUL,apartment,460000
171,171,January,ST PAUL,shop,58000
172,172,January,ST PAUL,maisonette,245000
173,173,January,ST PAUL,apartment,185000
174,174,January,ST PAUL,apartment,165000
175,175,January,ST PAUL,penthouse,135000
176,176,January,ST VENERA,villa,160000
177,177,January,ST VENERA,apartment,650000
178,178,January,SWATAR,apartment,170000
179,179,January,SWATAR,apartment,155000
180,180,January,SWATAR,penthouse,210000
181,181,January,SWIEQI,apartment,390000
182,182,January,SWIEQI,bungalow,1175000
183,183,January,SWIEQI,apartment,420000
184,184,January,SWIEQI,apartment,340000
185,185,January,SWIEQI,apartment,325000
186,186,January,SWIEQI,penthouse,395000
187,187,January,SWIEQI,maisonette,325000
188,188,January,TA,maisonette,300000
189,189,January,TAL IBRAĠ,house of character of character,450000
190,190,January,TARXIEN,house of character of character,380000
191,191,January,TARXIEN,house of character of character,325000
192,192,January,TARXIEN,house of character of character,730000
193,193,January,TARXIEN,apartment,154000
194,194,January,TARXIEN,house of character of character,325000
195,195,January,TARXIEN,house of character of character,345000
196,196,January,TARXIEN,townhouse,435000
197,197,January,TAS,penthouse,710000
198,198,January,THE,apartment,275000
199,199,January,THREE,apartment,100000
200,200,January,TIGNÉ,apartment,950000
201,201,January,VALLETTA,apartment,275000
202,202,January,VICTORIA,bungalow,1650000
203,203,January,XGĦAJRA,apartment,138000
204,204,January,XGĦAJRA,character,750000
205,205,January,XGĦAJRA,apartment,275000
206,206,January,ŻABBAR,house of character of character,315000
207,207,January,ŻABBAR,maisonette,230000
208,208,January,ŻABBAR,house of character of character,360000
209,209,January,ŻABBAR,penthouse,280000
210,210,January,ŻABBAR,apartment,128000
211,211,January,ŻABBAR,maisonette,220000
212,212,January,ŻABBAR,penthouse,85000
213,213,January,ŻABBAR,apartment,105000
214,214,January,ŻEBBIEGĦ,penthouse,350000
215,215,January,ŻEBBIEGĦ,apartment,225000
216,216,January,ŻEBBUĠ,house of character of character,245000
217,217,January,ŻEBBUĠ,apartment,170000
218,218,January,ŻEBBUĠ,character,410000
219,219,January,ŻEBBUĠ,maisonette,280000
220,220,January,ŻEBBUĠ,house of character of character,345000
221,221,January,ŻEBBUĠ,apartment,230000
222,222,January,ŻEBBUĠ,townhouse,129000
223,223,January,ŻEJTUN,character,285000
224,224,January,ŻEJTUN,maisonette,180000
225,225,January,ŻEJTUN,character,395000
226,226,January,ŻEJTUN,maisonette,196000
227,227,January,ŻEJTUN,apartment,142000
228,228,January,ŻEJTUN,character,149000
229,229,January,ŻEJTUN,maisonette,139000
230,230,January,ŻEJTUN,apartment,95000
231,231,January,ŻEJTUN,apartment,95000
232,232,January,ŻEJTUN,townhouse,255000
233,233,January,ŻEJTUN,character,100000
234,234,January,ŻEJTUN,farmhouse,490000
235,235,January,ŻONQOR,maisonette,235000
236,236,January,ŻURRIEQ,penthouse,150000
237,237,January,ŻURRIEQ,maisonette,190000
238,238,January,ŻURRIEQ,maisonette,270000
239,239,January,ŻURRIEQ,apartment,115000
240,240,January,ŻURRIEQ,apartment,196000
279,279,January,ĦAXAQ,house of character of character,198500
280,280,January,MARSASCALA,apartment,289000
281,281,January,ATTARD,apartment,234000
282,282,January,ATTARD,house of character of character,480000
283,283,January,ATTARD,penthouse,320000
284,284,January,ATTARD,maisonette,270000
285,285,January,ATTARD,bar,1350000
286,286,January,ATTARD,penthouse,132000
287,287,January,ATTARD,apartment,185000
288,288,January,ATTARD,character,320000
289,289,January,ATTARD,character,425000
290,290,January,ATTARD,penthouse,375000
291,291,January,ATTARD,apartment,175000
292,292,January,ATTARD,penthouse,320000
293,293,January,ATTARD,maisonette,380000
294,294,January,ATTARD,character,360000
295,295,January,ATTARD,house of character of character,455000
296,296,January,ATTARD,apartment,250000
297,297,January,BAĦAR IĊ-ĊAGĦAQ,apartment,230000
298,298,January,BAĦAR IĊ-ĊAGĦAQ,penthouse,485000
299,299,January,BAĦAR IĊ-ĊAGĦAQ,house of character of character,410000
300,300,January,BAĦAR IĊ-ĊAGĦAQ,penthouse,650000
301,301,January,BAĦRIJA,apartment,191000
302,302,January,BALZAN,apartment,205000
303,303,January,BALZAN,townhouse,259000
304,304,January,BALZAN,villa,600000
305,305,January,BALZAN,townhouse,244000
306,306,January,BIRGUMA,villa,160000
307,307,January,BIRKIRKARA,villa,465000
308,308,January,BIRKIRKARA,house of character of character,185000
309,309,January,BIRKIRKARA,villa,240000
310,310,January,BIRŻEBBUĠA,apartment,130000
311,311,January,BIRŻEBBUĠA,maisonette,269000
312,312,January,BIRŻEBBUĠA,maisonette,268000
313,313,January,BIRŻEBBUĠA,apartment,125000
314,314,January,BLATA L,apartment,450000
315,315,January,BUĠIBBA,apartment,165000
316,316,January,BUĠIBBA,apartment,135000
317,317,January,BUĠIBBA,apartment,98000
318,318,January,BUĠIBBA,maisonette,123000
319,319,January,COSPICUA,maisonette,95000
320,320,January,COSPICUA,townhouse,115000
321,321,January,FGURA,apartment,105000
322,322,January,FGURA,house of character of character,298000
323,323,January,FGURA,maisonette,106500
324,324,January,FGURA,apartment,99000
325,325,January,FGURA,penthouse,160000
326,326,January,FGURA,penthouse,153000
327,327,January,FGURA,apartment,92000
328,328,January,FGURA,apartment,150000
329,329,January,GĦARGĦUR,maisonette,186000
330,330,January,GĦARGĦUR,apartment,199000
331,331,January,GĦARGĦUR,maisonette,375000
332,332,January,GĦARGĦUR,apartment,265000
333,333,January,GĦARGĦUR,maisonette,186000
334,334,January,GĦARGĦUR,apartment,21500
335,335,January,GĦARGĦUR,penthouse,355000
336,336,January,GĦARGĦUR,apartment,240000
337,337,January,GĦAXAQ,apartment,60000
338,338,January,GĦAXAQ,townhouse,490000
339,339,January,GĦAXAQ,apartment,82000
340,340,January,GĦAXAQ,maisonette,265000
341,341,January,GĦAXAQ,maisonette,275000
342,342,January,GOZO GĦAJNSIELEM,house of character of character,138000
343,343,January,GOZO MARSALFORN,apartment,97000
344,344,January,GOZO MARSALFORN,apartment,120000
345,345,January,GOZO MARSALFORN,apartment,90000
346,346,January,GOZO NADUR,apartment,106000
347,347,January,GOZO NADUR,penthouse,175900
348,348,January,GOZO QALA,apartment,72000
349,349,January,GOZO QALA,character,295000
350,350,January,GOZO XAGĦRA,apartment,88000
351,351,January,GOZO XAGĦRA,house of character of character,225000
352,352,January,GOZO XAGĦRA,house of character of character,385000
353,353,January,GOZO XEWKIJA,apartment,108000
354,354,January,GOZO Highly,character,335000
355,355,January,GOZO Wide,apartment,61000
356,356,January,GUARDAMANGIA,apartment,155000
357,357,January,GUARDAMANGIA,apartment,99000
358,358,January,GUARDAMANGIA,apartment,117000
359,359,January,GUARDAMANGIA,apartment,125000
360,360,January,GUDJA,house of character of character,360000
361,361,January,GUDJA,character,790000
362,362,January,GUDJA,character,320000
363,363,January,GŻIRA,apartment,200000
364,364,January,GŻIRA,apartment,170000
365,365,January,GŻIRA,apartment,155000
366,366,January,GŻIRA,maisonette,220500
367,367,January,GŻIRA,apartment,190000
368,368,January,GŻIRA,apartment,220000
369,369,January,GŻIRA,apartment,225000
370,370,January,GŻIRA,apartment,199000
371,371,January,GŻIRA,apartment,173000
372,372,January,GŻIRA,apartment,185000
373,373,January,GŻIRA,apartment,185000
374,374,January,GŻIRA,apartment,155000
375,375,January,ĦAMRUN,townhouse,122000
376,376,January,ĦAMRUN,maisonette,85500
377,377,January,ĦAMRUN,apartment,238000
378,378,January,ĦAMRUN,townhouse,112000
379,379,January,ĦANDAQ,warehouse,744000
380,380,January,IKLIN,apartment,140000
381,381,January,IKLIN,house of character of character,498000
382,382,January,IKLIN,house of character of character,498000
383,383,January,KALKARA,penthouse,265000
384,384,January,KALKARA,apartment,160000
385,385,January,KALKARA,penthouse,255000
386,386,January,KALKARA,house of character of character,319000
387,387,January,KAPPARA,villa,710000
388,388,January,KAPPARA,plot,650000
389,389,January,KAPPARA,apartment,125000
390,390,January,KAPPARA,house of character of character,590000
391,391,January,KAPPARA,villa,650000
392,392,January,KAPPARA,villa,680000
393,393,January,KIRKOP,apartment,124000
394,394,January,LIJA,maisonette,197000
395,395,January,LIJA,apartment,170000
396,396,January,LIJA,maisonette,197000
397,397,January,LIJA,house of character of character,639000
398,398,January,LUQA,character,385000
399,399,January,LUQA,farmhouse,385000
401,401,January,LUQA,maisonette,210000
402,402,January,MADLIENA,apartment,650000
403,403,January,MANIKATA,apartment,198000
404,404,January,MANIKATA,apartment,270000
405,405,January,MANIKATA,apartment,220000
406,406,January,MARSASCALA,maisonette,218000
407,407,January,MARSASCALA,apartment,160000
408,408,January,MARSASCALA,penthouse,330000
409,409,January,MARSASCALA,apartment,150000
410,410,January,MARSASCALA,apartment,129000
411,411,January,MARSASCALA,apartment,186000
412,412,January,MARSASCALA,penthouse,350000
413,413,January,MARSASCALA,maisonette,275000
414,414,January,MARSASCALA,maisonette,235000
415,415,January,MARSASCALA,apartment,125000
416,416,January,MARSASCALA,apartment,155000
417,417,January,MARSASCALA,apartment,125000
418,418,January,MARSASCALA,maisonette,260000
419,419,January,MARSASCALA,apartment,125000
420,420,January,MARSASCALA,apartment,195000
421,421,January,MARSASCALA,apartment,148000
422,422,January,MARSASCALA,apartment,156000
423,423,January,MARSASCALA,apartment,135000
424,424,January,MARSASCALA,maisonette,267000
425,425,January,MARSASCALA,maisonette,230000
426,426,January,MARSASCALA,maisonette,210000
427,427,January,MARSASCALA,maisonette,160000
428,428,January,MARSASCALA,maisonette,169000
429,429,January,MARSASCALA,apartment,105000
430,430,January,MARSASCALA,maisonette,250000
431,431,January,MARSASCALA,apartment,140000
432,432,January,MARSASCALA,apartment,160000
433,433,January,MARSAXLOKK,bungalow,650000
434,434,January,MARSAXLOKK,apartment,177000
435,435,January,MELLIEĦA,villa,1200000
436,436,January,MELLIEĦA,bungalow,1175000
437,437,January,MELLIEĦA,maisonette,140000
438,438,January,MELLIEĦA,house of character of character,600000
439,439,January,MELLIEĦA,maisonette,385000
440,440,January,MELLIEĦA,apartment,145000
441,441,January,MELLIEĦA,apartment,175000
442,442,January,MELLIEĦA,apartment,280000
443,443,January,MELLIEĦA,penthouse,275000
444,444,January,MELLIEĦA,penthouse,430000
445,445,January,MELLIEĦA,apartment,135000
446,446,January,MELLIEĦA,maisonette,243000
447,447,January,MELLIEĦA,maisonette,265000
448,448,January,MELLIEĦA,apartment,165000
449,449,January,MELLIEĦA,apartment,280000
450,450,January,MELLIEĦA,maisonette,200000
451,451,January,MENSIJA,maisonette,245000
452,452,January,MĠARR,apartment,205000
453,453,January,MĠARR,apartment,170000
454,454,January,MĠARR,apartment,245000
455,455,January,MONTEROSA,plot,650000
456,456,January,MOSTA,house of character of character,345000
457,457,January,MOSTA,house of character of character,435000
458,458,January,MOSTA,apartment,175000
459,459,January,MOSTA,penthouse,220000
460,460,January,MOSTA,maisonette,248000
461,461,January,MOSTA,apartment,250000
462,462,January,MOSTA,apartment,175000
463,463,January,MOSTA,apartment,175000
464,464,January,MOSTA,penthouse,165000
465,465,January,MOSTA,apartment,175000
466,466,January,MOSTA,character,375000
467,467,January,MOSTA,apartment,225000
468,468,January,MOSTA,maisonette,180000
469,469,January,MOSTA,apartment,190000
470,470,January,MOSTA,apartment,260000
471,471,January,MOSTA,apartment,145000
472,472,January,MOSTA,apartment,185000
473,473,January,MOSTA,apartment,250000
474,474,January,MOSTA,apartment,148000
475,475,January,MOSTA,apartment,190000
476,476,January,MOSTA,plot,445000
477,477,January,MOSTA,maisonette,428000
478,478,January,MOSTA,apartment,185000
479,479,January,MOSTA,plot,477000
480,480,January,MSIDA,apartment,185000
481,481,January,MSIDA,apartment,210000
482,482,January,MSIDA,apartment,370000
483,483,January,MSIDA,penthouse,415000
484,484,January,MSIDA,apartment,127000
485,485,January,MSIDA,apartment,179000
486,486,January,MSIDA,maisonette,174000
487,487,January,MSIDA,penthouse,185000
488,488,January,MSIDA,penthouse,140000
489,489,January,MSIDA,penthouse,290000
490,490,January,MSIDA,apartment,115000
491,491,January,MSIDA,apartment,195000
492,492,January,MTARFA,apartment,230000
493,493,January,MTARFA,penthouse,265000
494,494,January,NAXXAR,penthouse,245000
495,495,January,NAXXAR,penthouse,315000
496,496,January,NAXXAR,maisonette,186000
497,497,January,NAXXAR,apartment,235000
498,498,January,NAXXAR,apartment,225000
499,499,January,NAXXAR,apartment,160000
500,500,January,NAXXAR,character,920000
501,501,January,NAXXAR,apartment,195000
502,502,January,NAXXAR,apartment,185000
503,503,January,NAXXAR,apartment,176000
504,504,January,NAXXAR,house of character of character,275000
505,505,January,NAXXAR,townhouse,265000
506,506,January,NAXXAR,character,265000
507,507,January,NAXXAR,house of character of character,570000
508,508,January,PAOLA,apartment,106000
509,509,January,PAOLA,apartment,117000
510,510,January,PAOLA,penthouse,96000
511,511,January,PAOLA,maisonette,165000
512,512,January,PAOLA,apartment,105000
513,513,January,PAOLA,penthouse,170000
514,514,January,PAOLA,apartment,95000
515,515,January,PENDERGARDENS,apartment,535000
516,516,January,PENDERGARDENS,apartment,695000
517,517,January,PIETÀ,apartment,117000
518,518,January,PIETÀ,townhouse,325000
519,519,January,PIETÀ,apartment,159000
520,520,January,PORTOMASO,apartment,840000
521,521,January,PORTOMASO,apartment,640000
522,522,January,PORTOMASO,apartment,875000
523,523,January,PORTOMASO,apartment,750000
524,524,January,PORTOMASO,apartment,450000
525,525,January,PORTOMASO,apartment,450000
526,526,January,PORTOMASO,apartment,879000
527,527,January,QAWRA,penthouse,399000
528,528,January,QAWRA,apartment,128500
529,529,January,QAWRA,house of character of character,385000
530,530,January,QAWRA,apartment,285000
531,531,January,QAWRA,apartment,98500
532,532,January,QAWRA,apartment,120000
533,533,January,QAWRA,house of character of character,390000
534,534,January,QAWRA,apartment,140000
535,535,January,QAWRA,apartment,117000
536,536,January,QAWRA,apartment,120000
537,537,January,QAWRA,apartment,160000
538,538,January,QAWRA,apartment,185000
539,539,January,QORMI,townhouse,150000
540,540,January,QORMI,apartment,159000
541,541,January,QORMI,apartment,106300
542,542,January,QORMI,apartment,138000
543,543,January,QORMI,apartment,154000
544,544,January,QORMI,character,155000
545,545,January,QORMI,maisonette,169000
546,546,January,QRENDI,character,265000
547,547,January,QUI,apartment,385000
548,548,January,RABAT,farmhouse,1600000
549,549,January,RABAT,villa,530000
550,550,January,RABAT,house of character of character,265000
551,551,January,RABAT,townhouse,375000
552,552,January,RABAT,house of character of character,235000
553,553,January,RABAT,character,252000
554,554,January,RABAT,penthouse,238000
555,555,January,SAN ĠWANN,apartment,165000
556,556,January,SAN ĠWANN,apartment,165000
557,557,January,SAN ĠWANN,apartment,140000
558,558,January,SAN ĠWANN,apartment,138000
559,559,January,SAN ĠWANN,apartment,155000
560,560,January,SAN ĠWANN,penthouse,170000
561,561,January,SAN PAWL,apartment,350000
562,562,January,SAN PAWL,villa,710000
563,563,January,SANTA LUĊIJA,house of character of character,390000
564,564,January,SANTA MARIA,bungalow,639000
565,565,January,SENGLEA,townhouse,265000
566,566,January,SENGLEA,townhouse,695000
567,567,January,SIĠĠIEWI,character,425000
568,568,January,SLIEMA,apartment,330000
569,569,January,SLIEMA,apartment,320000
570,570,January,SLIEMA,apartment,450000
571,571,January,SLIEMA,apartment,525000
572,572,January,SLIEMA,apartment,555000
573,573,January,SLIEMA,townhouse,1400000
574,574,January,SLIEMA,apartment,350000
575,575,January,SLIEMA,penthouse,500000
576,576,January,SLIEMA,townhouse,475000
577,577,January,SLIEMA,townhouse,550000
578,578,January,SLIEMA,maisonette,360000
579,579,January,SLIEMA,apartment,450000
580,580,January,SLIEMA,apartment,360000
581,581,January,SLIEMA,apartment,300000
582,582,January,SLIEMA,apartment,1250000
583,583,January,SLIEMA,townhouse,1400000
584,584,January,SLIEMA,maisonette,320000
585,585,January,SLIEMA,apartment,286000
586,586,January,SLIEMA,apartment,340000
587,587,January,SLIEMA,townhouse,225000
588,588,January,SLIEMA,apartment,295000
589,589,January,SLIEMA,apartment,220000
590,590,January,SLIEMA,townhouse,475000
591,591,January,SLIEMA,apartment,670000
592,592,January,ST JULIANS,apartment,475000
593,593,January,ST JULIANS,apartment,625000
594,594,January,ST JULIANS,apartment,870000
595,595,January,ST JULIANS,apartment,390000
596,596,January,ST JULIANS,apartment,30000
597,597,January,ST JULIANS,apartment,285000
598,598,January,ST JULIANS,penthouse,275000
599,599,January,ST JULIANS,stores,1800000
600,600,January,ST JULIANS,maisonette,275000
601,601,January,ST JULIANS,apartment,340000
602,602,January,ST JULIANS,apartment,340000
603,603,January,ST JULIANS,penthouse,275000
604,604,January,ST JULIANS,penthouse,275000
605,605,January,ST JULIANS,maisonette,350000
606,606,January,ST JULIANS,townhouse,350000
607,607,January,ST PAUL,apartment,211900
608,608,January,ST PAUL,penthouse,135000
609,609,January,ST PAUL,villa,650000
610,610,January,ST PAUL,apartment,215000
611,611,January,ST PAUL,apartment,235000
612,612,January,ST PAUL,maisonette,245000
613,613,January,ST PAUL,apartment,150000
614,614,January,ST PAUL,apartment,185000
615,615,January,ST PAUL,penthouse,135000
616,616,January,ST PAUL,maisonette,79000
617,617,January,ST PAUL,apartment,135000
618,618,January,ST PAUL,apartment,145000
619,619,January,ST VENERA,apartment,115000
620,620,January,ST VENERA,apartment,155000
621,621,January,ST VENERA,maisonette,68000
622,622,January,ST VENERA,apartment,155000
623,623,January,ST VENERA,apartment,138500
624,624,January,SWATAR,apartment,150000
625,625,January,SWATAR,house of character of character,575000
626,626,January,SWATAR,maisonette,280000
627,627,January,SWATAR,penthouse,190000
628,628,January,SWATAR,apartment,158000
629,629,January,SWIEQI,apartment,278000
630,630,January,SWIEQI,bungalow,1175000
631,631,January,SWIEQI,apartment,269000
632,632,January,SWIEQI,bungalow,550000
633,633,January,SWIEQI,penthouse,298000
634,634,January,SWIEQI,apartment,420000
635,635,January,SWIEQI,apartment,325000
636,636,January,SWIEQI,maisonette,315000
637,637,January,SWIEQI,apartment,265000
638,638,January,SWIEQI,penthouse,395000
639,639,January,SWIEQI,maisonette,325000
640,640,January,SWIEQI,maisonettes,245000
641,641,January,TA,apartment,165000
642,642,January,TAL IBRAĠ,maisonette,299000
643,643,January,TAL IBRAĠ,apartment,350000
644,644,January,TAL IBRAĠ,house of character of character,450000
645,645,January,TAL IBRAĠ,apartment,315000
646,646,January,TARXIEN,apartment,100000
647,647,January,TARXIEN,house of character of character,380000
648,648,January,TARXIEN,house of character of character,325000
649,649,January,TARXIEN,house of character of character,730000
650,650,January,TARXIEN,apartment,154000
651,651,January,TARXIEN,house of character of character,325000
652,652,January,TARXIEN,house of character of character,345000
653,653,January,TARXIEN,townhouse,435000
654,654,January,TARXIEN,maisonette,63500
655,655,January,TAS,penthouse,710000
656,656,January,THE,apartment,275000
657,657,January,THE,maisonette,245000
658,658,January,THE,apartment,275000
659,659,January,TIGNÉ,apartment,720000
660,660,January,VALLETTA,apartment,645000
661,661,January,VALLETTA,character,1888000
662,662,January,VALLETTA,apartment,275000
663,663,January,VILLA,villa,9000000
664,664,January,VITTORIOSA,townhouse,250000
665,665,January,XEMXIJA,apartment,379000
666,666,January,XEMXIJA,apartment,285000
667,667,January,XEMXIJA,apartment,229000
668,668,January,XEMXIJA,apartment,220000
669,669,January,XEMXIJA,apartment,388000
670,670,January,XEMXIJA,apartment,355000
671,671,January,XGĦAJRA,apartment,138000
672,672,January,XGĦAJRA,character,750000
673,673,January,XGĦAJRA,house of character of character,350000
674,674,January,XGĦAJRA,apartment,275000
675,675,January,ŻABBAR,maisonette,230000
676,676,January,ŻABBAR,maisonette,158000
677,677,January,ŻABBAR,penthouse,280000
678,678,January,ŻABBAR,apartment,128000
679,679,January,ŻABBAR,penthouse,85000
680,680,January,ŻABBAR,house of character of character,167000
681,681,January,ŻABBAR,plot,340000
682,682,January,ŻABBAR,apartment,105000
683,683,January,ŻEBBIEGĦ,penthouse,350000
684,684,January,ŻEBBIEGĦ,apartment,225000
685,685,January,ŻEBBUĠ,penthouse,185000
686,686,January,ŻEBBUĠ,house of character of character,675000
687,687,January,ŻEBBUĠ,character,289000
688,688,January,ŻEBBUĠ,townhouse,695000
689,689,January,ŻEBBUĠ,character,289000
690,690,January,ŻEBBUĠ,apartment,170000
691,691,January,ŻEBBUĠ,character,410000
692,692,January,ŻEBBUĠ,character,790000
693,693,January,ŻEBBUĠ,maisonette,280000
694,694,January,ŻEBBUĠ,house of character of character,345000
695,695,January,ŻEBBUĠ,townhouse,470000
696,696,January,ŻEJTUN,character,285000
697,697,January,ŻEJTUN,apartment,105000
698,698,January,ŻEJTUN,maisonette,160000
