Date_Published,Locality,Type_of_Property,Price
April,GĦAXAQ,penthouse,97000
April,GOZO GĦARB,character,258000
April,GOZO GĦARB,Plot,
April,GOZO MARSALFORN,apartment,70000
April,GOZO MARSALFORN,apartments,80000
April,GOZO MARSALFORN,apartment,80000
April,GOZO MARSALFORN,apartment,170000
April,GOZO MUNXAR,Plot,205000
April,GOZO NADUR,farmhouse,450000
April,GOZO NADUR,apartment,110000
April,GOZO NADUR,maisonette,155000
April,GOZO NADUR,apartment,189000
April,GOZO NADUR,apartment,110000
April,GOZO NADUR,apartment,174000
April,GOZO NADUR,character,580000
April,GOZO QALA,apartment,72000
April,GOZO QALA,penthouse,245000
April,GOZO QALA,apartment,86000
April,GOZO QALA,apartment,123000
April,GOZO SAN,house,375000
April,GOZO VICTORIA,maisonette,250000
April,GOZO VICTORIA,farmhouse,
April,GOZO XAGĦRA,house,180000
April,GOZO XAGĦRA,farmhouse,190000
April,GOZO XEWKIJA,maisonette,77000
April,GOZO XLENDI,apartments,350000
April,GOZO XLENDI,apartment,149500
April,GOZO ŻEBBUĠ,Apartment,360000
April,GOZO ŻEBBUĠ,apartment,169000
April,GOZO ŻEBBUĠ,,
April,GOZO ŻEBBUĠ,apartments,218000
April,GOZO ŻEBBUĠ,townhouse,255000
April,GOZO Avery,apartment,85000
April,GOZO Best,maisonettes,60000
April,GOZO Cliff,maisonettes,
April,GOZO Reduced,Apartment,195000
April,GUARDAMANGIA,apartment,101000
April,GUARDAMANGIA,apartments,115000
April,GUARDAMANGIA,,210000
April,GUDJA,apartment,105000
April,GUDJA,apartments,87500
April,GUDJA,house,295000
April,GŻIRA,penthouse,218000
April,GŻIRA,,95000
April,GŻIRA,apartment,129000
April,GŻIRA,apartment,196000
April,GŻIRA,apartment,
April,GŻIRA,Penthouse,230000
April,GŻIRA,,485000
April,GŻIRA,apartment,245000
April,ĦAMRUN,house,180000
April,ĦAMRUN,,120000
April,ĦAMRUN,apartment,95700
April,IKLIN,apartment,170000
April,IKLIN,,55000
April,KALKARA,house,264750
April,KALKARA,terraced,185000
April,KAPPARA,,15
April,KAPPARA,villa,650000
April,KAPPARA,villa,485000
April,KAPPARA,villa,485000
April,KIRKOP,character,328000
April,KIRKOP,maisonette,114000
April,KIRKOP,Penthouse,99000
April,LIJA,character,275000
April,LIJA,villa,475000
April,LIJA,character,19000
April,LIJA,character,
April,LIJA,maisonette,189000
April,LIJA,apartment,172000
April,LIJA,,700000
April,LIJA,,
April,LUQA,bungalow,
April,LUQA,townhouse,320000
April,MADLIENA,apartment,299500
April,MADLIENA,villa,940000
April,MADLIENA,bungalow,1332000
April,MADLIENA,apartment,262000
April,MANIKATA,apartment,164000
April,MANIKATA,villa,730000
April,MANIKATA,house,310000
April,MARSA,maisonette,60000
April,MARSA,Villa,
April,MARSASCALA,Maisonette,133000
April,MARSASCALA,penthouse,97000
April,MARSASCALA,apartment,90000
April,MARSASCALA,apartment,105000
April,MARSASCALA,house,385000
April,MARSASCALA,apartment,98000
April,MARSASCALA,apartment,197000
April,MARSASCALA,maisonette,170000
April,MARSASCALA,maisonette,135500
April,MARSASCALA,apartment,75000
April,MARSASCALA,maisonette,225000
April,MARSASCALA,apartment,135000
April,MARSASCALA,,
April,MARSASCALA,penthouse,348500
April,MARSASCALA,apartments,93700
April,MARSASCALA,apartment,64000
April,MARSASCALA,penthouse,148000
April,MARSASCALA,maisonette,198000
April,MARSASCALA,apartment,235000
April,MARSASCALA,house,281500
April,MARSASCALA,apartment,123500
April,MARSASCALA,penthouse,150000
April,MARSASCALA,house,240000
April,MARSAXLOKK,maisonette,220000
April,MARSAXLOKK,apartment,118000
April,MELLIEĦA,flat,210000
April,MELLIEĦA,maisonette,234000
April,MELLIEĦA,house,395000
April,MELLIEĦA,bungalow,690000
April,MELLIEĦA,apartment,650000
April,MELLIEĦA,Apartment,117000
April,MELLIEĦA,apartment,285000
April,MELLIEĦA,,148000
April,MELLIEĦA,house,365000
April,MELLIEĦA,maisonette,180000
April,MELLIEĦA,,20000
April,MELLIEĦA,apartment,142000
April,MELLIEĦA,Penthouse,280000
April,MELLIEĦA,maisonette,155000
April,MELLIEĦA,maisonette,210000
April,MELLIEĦA,maisonette,240000
April,MELLIEĦA,penthouse,135000
April,MELLIEĦA,apartment,115000
April,MELLIEĦA,penthouse,120000
April,MELLIEĦA,apartment,198000
April,MĠARR,,21500
April,MĠARR,penthouse,190000
April,MĠARR,maisonette,
April,MĠARR,penthouse,198000
April,MĠARR,apartment,158000
April,MĠARR,flat,117000
April,MOSTA,Penthouse,470000
April,MOSTA,house,319000
April,MOSTA,villa,680000
April,MOSTA,,
April,MOSTA,apartment,165000
April,MOSTA,character,141000
April,MOSTA,character,345000
April,MOSTA,maisonette,215000
April,MOSTA,penthouse,225000
April,MOSTA,character,209000
April,MOSTA,apartment,129000
April,MOSTA,maisonette,225000
April,MOSTA,villa,450000
April,MOSTA,character,245000
April,MOSTA,house,319000
April,MOSTA,flat,148000
April,MOSTA,character,
April,MOSTA,Maisonette,
April,MOSTA,Maisonette,172000
April,MOSTA,Maisonette,155000
April,MOSTA,Apartment,140000
April,MOSTA,apartments,95000
April,MOSTA,apartment,165000
April,MOSTA,penthouse,159000
April,MOSTA,apartment,184000
April,MOSTA,Penthouse,
April,MOSTA,Penthouse,
April,MOSTA,house,330000
April,MOSTA,townhouse,
April,MOSTA,character,141000
April,MOSTA,,89900
April,MOSTA,house,330000
April,MOSTA,maisonette,186000
April,MOSTA,,325000
April,MOSTA,Townhouse,280000
April,MOSTA,character,335000
April,MOSTA,character,239000
April,MOSTA ŻURRIEQ,maisonette,
April,MQABBA,house,326000
April,MQABBA,penthouse,96000
April,MQABBA,apartment,96500
April,MQABBA,house,
April,MSIDA,apartment,125000
April,MSIDA,house,340000
April,MSIDA,apartments,120000
April,MSIDA,apartment,110000
April,MSIDA,Apartment,100000
April,MSIDA,,och60000
April,MSIDA,,119000
April,MSIDA,apartment,79000
April,MSIDA,apartment,
April,MSIDA,apartment,135000
April,MSIDA,penthouse,110000
April,MSIDA,apartment,110000
April,MSIDA,apartment,96000
April,MSIDA,penthouse,
April,MSIDA,penthouse,152000
April,NAXXAR,Apartment,150000
April,NAXXAR,apartment,205000
April,NAXXAR,character,718000
April,NAXXAR,character,710000
April,NAXXAR,character,980000
April,NAXXAR,character,875000
April,NAXXAR,bungalow,
April,NAXXAR,apartments,
April,NAXXAR,apartment,115000
April,NAXXAR,Apartments,
April,NAXXAR,villa,540000
April,NAXXAR,maisonette,395000
April,NAXXAR,townhouse,950000
April,PAOLA,warehouse,200000
April,PAOLA,house,270300
April,PAOLA,house,285000
April,PAOLA,maisonette,130000
April,PAOLA,apartments,107000
April,PAOLA,penthouse,85000
April,PAOLA,house,110000
April,PIETÀ,Apartment,85000
April,PIETÀ,townhouse,265000
April,PORTOMASO,apartment,
April,PORTOMASO,,318000
April,PORTOMASO,apartment,483000
April,PWALES,apartment,115000
April,QAWRA,apartment,75000
April,QAWRA,,160000
April,QAWRA,penthouse,385000
April,QAWRA,maisonette,185000
April,QAWRA,Apartment,110000
April,QAWRA,Apartments,87000
April,QAWRA,apartment,86500
April,QAWRA,penthouse,400000
April,QAWRA,maisonette,220000
April,QAWRA,apartment,135000
April,QAWRA,apartment,107000
April,QAWRA,apartment,96000
April,QAWRA,Penthouse,165000
April,QAWRA,Penthouse,340000
April,QAWRA,penthouse,180000
April,QAWRA,penthouse,320000
April,QAWRA,apartment,100000
April,QAWRA,penthouse,180000
April,QAWRA,apartments,17800
April,QORMI,Warehouse,
April,QORMI,maisonette,
April,QORMI,penthouse,238000
April,QORMI,,185000
April,QORMI,apartment,107000
April,QORMI,apartments,126000
April,QORMI,maisonette,195000
April,QORMI,house,250000
April,QRENDI,character,
April,QRENDI,,55000
April,RABAT,apartment,370000
April,RABAT,apartment,170000
April,RABAT,character,200000
April,RABAT,penthouse,450000
April,RABAT,character,270000
April,RABAT,character,
April,RABAT,maisonette,
April,RABAT,apartment,79000
April,RABAT,villa,550000
April,RABAT,apartment,
April,RABAT,Townhouse,
April,SALINA,Farmhouse,650000
April,SAN ĠWANN,maisonette,125000
April,SAN ĠWANN,apartment,
April,SAN ĠWANN,Apartments,123000
April,SAN ĠWANN,apartment,103000
April,SAN ĠWANN,house,
April,SAN ĠWANN,apartment,150000
April,SAN ĠWANN,apartment,70000
April,SAN ĠWANN,,
April,SAN ĠWANN,apartments,138000
April,SAN ĠWANN,Penthouse,197500
April,SAN ĠWANN,apartment,72000
April,SAN ĠWANN,house,425000
April,SAN ĠWANN,apartment,103000
April,SAN ĠWANN,apartment,153000
April,SAN ĠWANN,apartment,128000
April,SAN ĠWANN,apartment,125000
April,SAN PAWL,,255000
April,SAN PAWL,apartment,214000
April,SAN PAWL,,465000
April,SAN PAWL,apartment,214000
April,SAN PAWL,villa,585000
April,SAN PAWL,maisonettes,225000
April,SANTA LUĊIJA,house,310000
April,SANTA MARIA,bungalow,595000
April,SANTA MARIA,bungalow,690000
April,SELLING,HOUSE,
April,SENGLEA,townhouse,35000
April,SIĠĠIEWI,townhouse,180000
April,SIĠĠIEWI,maisonette,182000
April,SIĠĠIEWI,character,
April,SIĠĠIEWI,character,325000
April,SIĠĠIEWI,apartment,175
April,SIĠĠIEWI,character,950000
April,SIĠĠIEWI,house,218000
April,SIĠĠIEWI,apartments,127000
April,SIĠĠIEWI,maisonette,120000
April,SLIEMA,apartment,475000
April,SLIEMA,apartment,640000
April,SLIEMA,apartment,475000
April,SLIEMA,apartment,640000
April,SLIEMA,apartment,500000
April,SLIEMA,apartment,530000
April,SLIEMA,apartment,
April,SLIEMA,,198000
April,SLIEMA,,43500
April,SLIEMA,penthouse,
April,SLIEMA,apartment,640000
April,SLIEMA,apartments,
April,SLIEMA,apartment,330000
April,SLIEMA,apartment,220000
April,SLIEMA,penthouse,750000
April,SLIEMA,penthouse,och645000
April,SLIEMA,apartments,
April,SLIEMA,apartment,800000
April,SLIEMA,penthouse,326000
April,SLIEMA,apartment,319000
April,SLIEMA,penthouse,400000
April,SLIEMA,maisonette,260000
April,SLIEMA,townhouse,450000
April,SLIEMA,townhouse,495000
April,SLIEMA,,
April,SLIEMA,,244400
April,SLIEMA,apartment,290000
April,SLIEMA,apartments,340000
April,SLIEMA,apartment,220000
April,SLIEMA,apartment,220000
April,SLIEMA,apartment,
April,SLIEMA,apartment,655000
April,SLIEMA,apartment,650000
April,SLIEMA,apartments,278000/or
April,SLIEMA,,675000
April,SLIEMA,apartment,278000
April,SLIEMA,Penthouse,
April,SLIEMA,,
April,SLIEMA,apartments,
April,SLIEMA,penthouse,330000
April,SLIEMA,,
April,SLIEMA,apartment,290000
April,SLIEMA,apartment,198000
April,SLIEMA,townhouse,385000
April,SLIEMA,Townhouse,290000
April,SLIEMA,apartment,165000
April,SLIEMA,apartment,240000
April,SLIEMA,maisonette,294000
April,SLIEMA,penthouse,415000
April,SLIEMA,apartment,190000
April,SLIEMA,maisonette,175000
April,ST JULIANS,apartment,
April,ST JULIANS,apartment,205000
April,ST JULIANS,apartment,
April,ST JULIANS,apartment,233000
April,ST JULIANS,apartment,205000
April,ST JULIANS,apartment,155000
April,ST JULIANS,,219000
April,ST JULIANS,apartment,239000
April,ST JULIANS,apartment,325000
April,ST JULIANS,restaurant,
April,ST JULIANS,maisonette,295000
April,ST JULIANS,Penthouse,330000
April,ST JULIANS,,28000
April,ST JULIANS,villa,850000
April,ST JULIANS,apartment,425000
April,ST JULIANS,bungalow,558000
April,ST JULIANS,apartment,185000
April,ST JULIANS,apartment,205000
April,ST JULIANS,character,460000
April,ST JULIANS,apartment,158000
April,ST PAUL,apartment,116000
April,ST PAUL,penthouse,285000
April,ST PAUL,apartment,320000
April,ST PAUL,maisonette,165000
April,ST PAUL,apartment,109000
April,ST PAUL,apartment,135000
April,ST PAUL,penthouse,345000
April,ST PAUL,penthouse,179000
April,ST PAUL,maisonette,162000
April,ST PAUL,apartments,122000
April,ST PAUL,penthouse,194250
April,ST PAUL,plot,690000
April,ST PAUL,apartment,234000
April,ST PAUL,apartment,195000
April,ST PAUL,apartment,235000
April,ST PAUL,apartment,90000
April,ST PAUL,Townhouse,210000
April,ST VENERA,apartment,105000
April,ST VENERA,Apartment,
April,ST VENERA,house,190000
April,ST VENERA,house,340000
April,ST VENERA,apartments,110000
April,ST VENERA,maisonette,128000
April,ST VENERA,penthouse,94000
April,ST VENERA,maisonette,183000
April,ST VENERA,,39600
April,ST VENERA,,110000
April,SWATAR,apartment,650
April,SWIEQI,,38000
April,SWIEQI,villa,525000
April,SWIEQI,maisonette,295000
April,SWIEQI,apartments,165000
April,SWIEQI,apartment,217000
April,SWIEQI,apartment,160000
April,SWIEQI,apartment,182000
April,SWIEQI,house,350000
April,SWIEQI,maisonette,
April,SWIEQI,apartment,217000
April,SWIEQI,maisonette,250000
April,SWIEQI,apartment,217000
April,SWIEQI,apartment,185000
April,SWIEQI,villa,525000
April,SWIEQI,house,
April,SWIEQI,house,420000
April,SWIEQI,,525000
April,SWIEQI,,
April,SWIEQI,villa,605000
April,TA,apartment,170000
April,TA,Apartment,
April,TA,apartment,850000
April,TA,apartment,295000
April,TA,villa,850000
April,TA,apartments,220000
April,TAL IBRAĠ,apartment,295000
April,TAL IBRAĠ,penthouse,315000
April,TAL IBRAĠ,apartment,255000
April,TAL IBRAĠ,apartment,163000
April,TAL IBRAĠ,penthouse,358000
April,TAL IBRAĠ,,230000
April,TAL IBRAĠ,apartment,98000
April,TARXIEN,maisonette,113000
April,TARXIEN,,620000
April,TARXIEN,flat,95000
April,TARXIEN,villa,
April,TARXIEN,maisonette,99000
April,TARXIEN,house,245000
April,TARXIEN,Townhouse,125000
April,TARXIEN,,22000
April,TARXIEN,townhouse,370000
April,TARXIEN,townhouse,139000
April,THE,apartments,270000
April,THE,Maisonette,
April,THE,villa,400000
April,THE,villa,650000
April,THE,apartment,205000
April,THE,villa,510000
April,VALLETTA,townhouse,230000
April,VALLETTA,apartment,330000
April,VALLETTA,apartment,75000
April,VALLETTA,,180
April,VALLETTA,penthouse,690000
April,VALLETTA,apartment,295000
April,VICTORIA,bungalow,1600000
April,VITTORIOSA,apartment,335000
April,XEMXIJA,penthouse,280000
April,XEMXIJA,penthouse,350000
April,XEMXIJA,apartment,129500
April,XEMXIJA,apartment,123000
April,XEMXIJA,maisonette,138000
April,XEMXIJA,apartment,307500
April,XEMXIJA,maisonette,190000
April,XEMXIJA,apartment,98000
April,XGĦAJRA,,130000
April,ŻABBAR,maisonette,220000
April,ŻABBAR,maisonette,159000
April,ŻABBAR,character,303000
April,ŻABBAR,penthouse,190000
April,ŻABBAR,apartment,87000
April,ŻABBAR,Penthouse,105000
April,ŻABBAR,house,285000
April,ŻABBAR,apartment,105000
April,ŻABBAR,house,185950
April,ŻABBAR,maisonette,239500
April,ŻEBBIEGĦ,penthouse,265000
April,ŻEBBIEGĦ,apartment,134000
April,ŻEBBUĠ,penthouse,155000
April,ŻEBBUĠ,apartment,149000
April,ŻEBBUĠ,plot,470000
April,ŻEBBUĠ,house,350000
April,ŻEBBUĠ,house,315000
April,ŻEBBUĠ,house,260000
April,ŻEBBUĠ,apartment,12000
April,ŻEBBUĠ,apartment,112000
April,ŻEBBUĠ,apartment,112000
April,ŻEBBUĠ,apartment,96000
April,ŻEJTUN,maisonette,123000
April,ŻEJTUN,penthouse,175000
April,ŻEJTUN,maisonette,85000
April,ŻEJTUN,apartment,96000
April,ŻEJTUN,house,208500
April,ŻEJTUN,townhouse,87000
April,ŻURRIEQ,apartment,118000
April,ŻURRIEQ,flat,110000
April,ŻURRIEQ,,85000
April,ŻURRIEQ,,95000
April,ŻURRIEQ,penthouse,130500
April,ŻURRIEQ,apartment,90000
April,ŻURRIEQ,apartment,100000
April,ŻURRIEQ,apartment,
April,ŻURRIEQ,apartment,97000
April,ŻURRIEQ,apartment,181000
April,ŻURRIEQ,penthouse,160000
April,ŻURRIEQ,maisonette,160000
April,ŻURRIEQ,Penthouse,170000
April,ŻURRIEQ,Townhouse,170000
April,ŻURRIEQ,house,
April,ATTARD,penthouse,330000
April,BALZAN,apartment,150000
April,BIRKIRKARA,flat,
April,FGURA,Apartment,90000
April,GĦARGĦUR,apartment,180000
April,GOZO GĦARB,apartment,85000
April,GOZO KERĊEM,farmhouse,300000
April,LIJA,villa,
April,MELLIEĦA,Penthouse,280000
April,MOSTA,Apartment,140000
April,MSIDA,Apartment,100000
April,NAXXAR,clinic,120000
April,NAXXAR,Apartment,150000
April,PEMBROKE,maisonette,
April,SAN ĠWANN,apartment,140000
April,SAN PAWL,maisonette,255000
April,SLIEMA,apartment,650000
April,ST VENERA,apartment,105000
April,ŻURRIEQ,house,195000
April,BALZAN,apartment,147000
April,QAWRA,apartments,75500
April,ST JULIANS,Townhouse,375000
April,ST VENERA,maisonette,95000
April,ST VENERA,,110000
April,ŻEBBUĠ,house,953000
April,GOZO XAGĦRA,character,170000
April,GOZO XLENDI,apartment,80000
April,MARSASCALA,apartment,72000
April,MSIDA,,120000
April,ST JULIANS,apartment,330000
April,ŻEBBUĠ,farmhouse,950000
April,BAĦAR IĊ-ĊAGĦAQ,apartment,285000
April,BALZAN,apartment,238000
April,BALZAN,apartment,150000
April,BIRKIRKARA,character,315000
April,BIRKIRKARA,flat,90000
April,BIRKIRKARA,flat,97000
April,BIRKIRKARA,penthouse,125000
April,BIRKIRKARA,penthouse,108000
April,BUĠIBBA,penthouse,185000
April,COSPICUA,townhouse,275000
April,COSPICUA,townhouse,275000
April,FGURA,penthouse,
April,GOZO FONTANA,apartment,99000
April,GOZO NADUR,house,345000
April,GŻIRA,apartment,185000
April,GŻIRA,penthouse,205000
April,GŻIRA,maisonette,127500
April,MARSASCALA,penthouse,97000
April,MARSASCALA,penthouse,146000
April,MELLIEĦA,apartments,
April,MELLIEĦA,apartment,145000
April,MĠARR,maisonette,155000
April,MOSTA,character,210000
April,MSIDA,flat,88000
April,MSIDA,maisonette,287000
April,SAN PAWL,apartments,219000
April,SENGLEA,apartment,365000
April,SLIEMA,apartment,550000
April,SLIEMA,apartment,459000
April,SLIEMA,apartment,220000
April,SLIEMA,apartment,220000
April,SLIEMA,penthouse,360000
April,ST JULIANS,maisonette,180000
April,ST JULIANS,apartment,320000
April,ST JULIANS,villa,510000
April,TARXIEN,maisonette,280000
April,TARXIEN,flat,95000
April,TARXIEN,house,250000
April,VALLETTA,apartments,400000
April,XEMXIJA,apartments,109000
April,XEMXIJA,penthouse,280000
April,ŻABBAR,maisonette,200000
April,ŻEBBUĠ,character,175000
April,BAĦRIJA,villa,435000
April,GOZO MARSALFORN,apartment,115000
April,GOZO QALA,maisonette,105000
April,GUARDAMANGIA,,210000
April,ATTARD,maisonette,130000
April,ATTARD,character,
April,ATTARD,apartments,154000
April,ATTARD,maisonette,275000
April,ATTARD,apartment,155000
April,ATTARD,apartment,163000
April,ATTARD,Maisonette,135700
April,ATTARD,Maisonette,140000
April,ATTARD,,10500
April,ATTARD,penthouse,210000
April,ATTARD,Penthouse,215000
April,ATTARD,villa,450000
April,ATTARD,house,260000
April,ATTARD,house,
April,ATTARD,villa,479000
April,ATTARD,house,305000
April,ATTARD,,
April,BAĦAR IĊ-ĊAGĦAQ,penthouse,
April,BAĦAR IĊ-ĊAGĦAQ,apartments,
April,BAĦRIJA,villa,435000
April,BALZAN,apartment,248000
April,BALZAN,apartment,150000
April,BALZAN,apartments,
April,BALZAN,apartments,
April,BALZAN,maisonette,222000
April,BALZAN,maisonette,198000
April,BALZAN,townhouse,440000
April,BALZAN,maisonette,245000
April,BALZAN,penthouse,254000
April,BALZAN,maisonette,190000
April,BALZAN,maisonette,
April,BALZAN,maisonette,239000
April,BENGĦAJSA,Farmhouse,
April,BIRGUMA,penthouse,229000
April,BIRKIRKARA,maisonette,245000
April,BIRKIRKARA,plot,600000
April,BIRKIRKARA,apartment,
April,BIRKIRKARA,maisonette,165000
April,BIRKIRKARA,apartment,116500
April,BIRKIRKARA,store,165000
April,BIRKIRKARA,apartment,120000
April,BIRKIRKARA,maisonette,177000
April,BIRKIRKARA,house,271000
April,BIRKIRKARA,apartment,
April,BIRKIRKARA,apartments,79500
April,BIRKIRKARA,Townhouse,250000
April,BIRKIRKARA,Townhouse,186000
April,BIRKIRKARA,,
April,BIRKIRKARA,apartment,139500
April,BIRKIRKARA,townhouse,70000
April,BIRŻEBBUĠA,maisonette,91500
April,BIRŻEBBUĠA,penthouse,150000
April,BIRŻEBBUĠA,house,
April,BLATA L,Apartment,85000
April,BUĠIBBA,,399000
April,BUĠIBBA,apartment,115000
April,BUĠIBBA,,375000
April,COSPICUA,,280000
April,COSPICUA,townhouse,
April,COSPICUA,maisonette,75000
April,DINGLI,,
April,DINGLI,farmhouse,370000
April,DINGLI,maisonette,och146000
April,DINGLI,Townhouse,149000
April,DINGLI,townhouse,och370000
April,FGURA,,256500
April,FGURA,Apartment,90000
April,FGURA,apartment,92000
April,FGURA,apartment,110000
April,FGURA,penthouse,123000
April,FGURA,house,380000
April,FGURA,apartment,90000
April,FGURA,penthouse,100000
April,FGURA,maisonette,150000
April,FGURA,maisonette,130000
April,FGURA,Apartment,97000
April,FGURA,apartments,63000
April,FGURA,Maisonette,182950
April,FGURA,maisonette,och158500
April,FGURA,house,220000
April,FGURA,maisonette,107000
April,FLEUR,penthouse,
April,FLORIANA,apartment,540000
April,FORT,apartment,275000
April,FORT,apartment,
April,FULLY,maisonette,
April,GĦARGĦUR,apartment,180000
April,GĦARGĦUR,apartment,136000
April,GĦARGĦUR,character,139000
April,GĦARGĦUR,character,137500
April,ĦARGochĦUR,apartments,och
