,Date_Published,Locality,Type_of_Property,Price
231,January,SIĠĠIEWI,character,215000
232,January,SIĠĠIEWI,character,215000
233,January,SLIEMA,apartment,660000
234,January,SLIEMA,townhouse,370000
235,January,SLIEMA,penthouse,465000
236,January,SLIEMA,apartment,695000
237,January,SLIEMA,house of character,555000
238,January,SLIEMA,apartment,265000
239,January,SLIEMA,townhouse,775000
240,January,SLIEMA,apartment,300000
241,January,SLIEMA,penthouse,359000
242,January,SLIEMA,apartment,645000
243,January,SLIEMA,apartment,645000
244,January,SLIEMA,apartment,265000
245,January,SLIEMA,apartment,249000
246,January,SLIEMA,apartment,478000
247,January,SLIEMA,apartment,275000
248,January,SLIEMA,apartment,350000
249,January,SLIEMA,apartment,1290000
250,January,SLIEMA,penthouse,1150000
251,January,SLIEMA,townhouse,340000
252,January,SLIEMA,apartment,350000
253,January,SLIEMA,townhouse,265000
254,January,SLIEMA,apartment,318000
255,January,SLIEMA,apartment,370000
256,January,SLIEMA,townhouse,425000
257,January,SLIEMA,apartment,265000
258,January,ST JULIANS,apartment,280000
259,January,ST JULIANS,apartment,521000
260,January,ST JULIANS,apartment,240000
261,January,ST JULIANS,townhouse,385000
262,January,ST JULIANS,apartment,295000
263,January,ST PAUL,house of character,397500
264,January,ST PAUL,apartment,90000
265,January,ST PAUL,penthouse,150000
266,January,ST PAUL,apartment,174000
267,January,ST PAUL,penthouse,186000
268,January,ST PAUL,apartment,130000
269,January,ST PAUL,penthouse,127000
270,January,ST PAUL,penthouse,260000
271,January,ST VENERA,penthouse,130000
272,January,ST VENERA,apartment,110000
273,January,ST VENERA,maisonette,95000
274,January,ST VENERA,maisonette,85000
275,January,ST VENERA,apartment,149000
276,January,SWATAR,maisonette,119000
277,January,SWATAR,maisonette,145000
278,January,SWATAR,apartment,130000
279,January,SWATAR,maisonette,278000
280,January,SWIEQI,apartment,295000
281,January,SWIEQI,apartment,145000
282,January,SWIEQI,maisonette,295000
283,January,SWIEQI,maisonette,265000
284,January,TA,apartment,135000
285,January,TAL IBRAĠ,penthouse,385000
286,January,TAL IBRAĠ,apartment,280000
287,January,TAL IBRAĠ,apartment,205000
288,January,TAL IBRAĠ,apartment,160000
289,January,TAL IBRAĠ,apartment,190000
290,January,TAL IBRAĠ,apartment,425000
291,January,TIGNÉ,apartment,550000
292,January,VICTORIA,villa,1100000
293,January,WARDIJA,villa,3100000
294,January,XEMXIJA,penthouse,110000
295,January,XEMXIJA,apartment,350000
296,January,ŻABBAR,maisonette,195000
297,January,ŻABBAR,house of character,267000
298,January,ŻABBAR,apartment,135000
299,January,ŻABBAR,apartment,109000
300,January,ŻABBAR,penthouse,135000
301,January,ŻEBBUĠ,apartment,225000
302,January,ŻEBBUĠ,apartment,137000
303,January,ŻEBBUĠ,maisonette,109000
304,January,ŻEBBUĠ,character,327000
305,January,ŻEBBUĠ,house of character,445000
306,January,ŻEBBUĠ,apartment,150000
307,January,ŻEBBUĠ,maisonette,115000
308,January,ŻEBBUĠ,apartment,97000
309,January,ŻEBBUĠ,apartment,104000
310,January,_GoBackEJTUN,character,132300
311,January,ŻEJTUN,maisonette,120000
312,January,ŻEJTUN,apartment,79000
313,January,ŻEJTUN,character,215000
314,January,ŻEJTUN,maisonette,116000
315,January,ŻEJTUN,townhouse,105000
316,January,ŻURRIEQ,plot,245000
317,January,ŻURRIEQ,character,240000
318,January,BENGĦAJSA,plot,100000
319,January,GOZO MARSALFORN,apartment,115000
320,January,GOZO NADUR,apartment,235000
321,January,MSIDA,apartment,190000
344,January,MSIDA,apartment,149500
345,January,NAXXAR,apartment,144500
346,January,QAWRA,apartment,96000
347,January,ST VENERA,maisonette,145000
348,January,TARXIEN,apartment,99000
349,January,ŻURRIEQ,apartment,110000
350,January,ATTARD,apartment,185000
351,January,ATTARD,penthouse,319000
352,January,ATTARD,villa,475000
353,January,ATTARD,maisonette,266000
354,January,ATTARD,apartment,169000
355,January,ATTARD,apartment,200000
356,January,ATTARD,apartment,165000
357,January,ATTARD,maisonette,230000
358,January,BAĦAR IĊ-ĊAGĦAQ,apartment,285000
359,January,BAĦAR IĊ-ĊAGĦAQ,maisonette,229000
360,January,BAĦAR IĊ-ĊAGĦAQ,apartment,139000
361,January,BAĦAR IĊ-ĊAGĦAQ,bungalow,970000
362,January,BALZAN,character,295000
363,January,BALZAN,house of character,370000
364,January,BALZAN,maisonette,259000
365,January,BALZAN,villa,205000
366,January,BALZAN,maisonette,212000
367,January,BALZAN,house of character,90000
368,January,BALZAN,townhouse,185000
369,January,BALZAN,apartment,135000
370,January,BIDNIJA,villa,795000
371,January,BIDNIJA,villa,780000
372,January,BIRGUMA,bungalow,1375000
373,January,BIRKIRKARA,apartment,110000
374,January,BIRKIRKARA,apartment,160000
375,January,BIRKIRKARA,maisonette,177000
376,January,BIRKIRKARA,apartment,160000
377,January,BIRKIRKARA,penthouse,179500
378,January,BIRKIRKARA,townhouse,175000
379,January,BIRKIRKARA,house of character,119000
380,January,BIRKIRKARA,apartment,100000
381,January,BIRKIRKARA,apartment,109000
382,January,BIRKIRKARA,house of character,350000
383,January,BIRKIRKARA,maisonette,202000
384,January,BIRKIRKARA,house of character,330000
385,January,BIRKIRKARA,villa,350000
386,January,BIRKIRKARA,apartment,125000
387,January,BIRKIRKARA,penthouse,180000
388,January,BIRKIRKARA,maisonette,113000
389,January,BIRKIRKARA,maisonette,75000
390,January,BIRKIRKARA,townhouse,300000
391,January,BUĠIBBA,apartment,120000
392,January,BUĠIBBA,apartment,149000
393,January,BUĠIBBA,apartment,117000
394,January,BUĠIBBA,penthouse,270000
395,January,BUĠIBBA,apartment,130000
396,January,BUĠIBBA,apartment,85000
397,January,COSPICUA,townhouse,160000
398,January,COSPICUA,apartment,68000
399,January,COSPICUA,apartment,95000
400,January,COSPICUA,apartment,76500
401,January,COSPICUA,house of character,110000
402,January,DINGLI,house of character,475000
403,January,DINGLI,maisonette,185000
404,January,DINGLI,maisonette,220000
405,January,FGURA,maisonette,108000
406,January,FGURA,apartment,69000
407,January,FGURA,maisonette,99000
408,January,FGURA,apartment,110000
409,January,FGURA,apartment,167000
410,January,FGURA,apartment,97000
411,January,FLORIANA,townhouse,252000
412,January,GĦADIRA,maisonette,220000
413,January,GĦADIRA,penthouse,140000
414,January,GĦARGĦUR,farmhouse,695000
415,January,GĦARGĦUR,character,350000
416,January,GĦARGĦUR,house of character,400000
417,January,GĦARGĦUR,character,350000
418,January,GĦARGĦUR,apartment,245000
419,January,GĦARGĦUR,apartment,240000
420,January,GĦARGĦUR,apartment,165000
421,January,GĦAXAQ,maisonette,115000
422,January,GĦAXAQ,character,95000
423,January,GOZO GĦAJNSIELEM,maisonette,172000
424,January,GOZO GĦAJNSIELEM,apartment,165000
425,January,GOZO GĦARB,apartment,75000
426,January,GOZO GĦARB,apartment,72000
427,January,GOZO GĦARB,character,258000
428,January,GOZO MARSALFORN,apartment,115000
429,January,GOZO QALA,apartment,115000
430,January,GOZO SAN,character,375000
431,January,GOZO SANNAT,townhouse,295000
432,January,GOZO VICTORIA,penthouse,191000
433,January,GOZO XAGĦRA,apartment,93000
434,January,GOZO XAGĦRA,apartment,110000
435,January,GOZO XEWKIJA,apartment,65000
436,January,GOZO XEWKIJA,maisonette,150000
437,January,GOZO ŻEBBUĠ,character,210000
438,January,GUARDAMANGIA,apartment,139000
439,January,GUDJA,house of character,238000
440,January,GUDJA,maisonette,198000
441,January,GŻIRA,apartment,195000
442,January,GŻIRA,apartment,165000
443,January,GŻIRA,apartment,145000
444,January,GŻIRA,penthouse,225000
445,January,GŻIRA,apartment,129000
446,January,GŻIRA,apartment,184500
447,January,GŻIRA,apartment,235000
448,January,GŻIRA,apartment,165000
449,January,GŻIRA,apartment,185000
450,January,GŻIRA,apartment,255000
451,January,GŻIRA,apartment,237000
452,January,GŻIRA,apartment,145000
453,January,GŻIRA,penthouse,199000
454,January,ĦAMRUN,clinic,60000
455,January,ĦAMRUN,apartment,69000
456,January,ĦAMRUN,maisonette,154000
457,January,IKLIN,maisonette,205000
458,January,KALKARA,apartment,129000
459,January,KAPPARA,penthouse,200000
460,January,KIRKOP,apartment,148500
461,January,LIJA,maisonette,250000
462,January,LIJA,maisonette,250000
463,January,LIJA,maisonette,179000
464,January,LIJA,character,520000
465,January,LIJA,house of character,460000
466,January,LIJA,character,210000
467,January,LUQA,townhouse,160000
468,January,LUQA,apartment,100000
469,January,LUQA,maisonette,120000
470,January,MADLIENA,villa,1200000
472,January,MADLIENA,apartment,495000
473,January,MANIKATA,farmhouse,499000
474,January,MARSASCALA,apartment,118000
475,January,MARSASCALA,penthouse,98000
476,January,MARSASCALA,penthouse,230000
477,January,MARSASCALA,maisonette,265000
478,January,MARSASCALA,apartment,159500
479,January,MARSASCALA,apartment,95500
480,January,MARSASCALA,house of character,279000
481,January,MARSASCALA,apartment,133500
482,January,MARSASCALA,maisonette,152000
483,January,MARSASCALA,maisonette,94000
484,January,MARSASCALA,apartment,119000
485,January,MARSASCALA,apartment,159000
486,January,MARSASCALA,house of character,365000
487,January,MARSASCALA,apartment,184000
488,January,MARSASCALA,apartment,114000
489,January,MARSASCALA,apartment,125000
490,January,MDINA,character,4000000
491,January,MELLIEĦA,bungalow,873000
492,January,MELLIEĦA,villa,1300000
493,January,MELLIEĦA,house of character,50000
494,January,MELLIEĦA,penthouse,160000
495,January,MELLIEĦA,apartment,138000
496,January,MELLIEĦA,house of character,425000
497,January,MELLIEĦA,penthouse,149000
498,January,MELLIEĦA,apartment,120000
499,January,MELLIEĦA,apartment,120000
500,January,MELLIEĦA,apartment,480000
501,January,MELLIEĦA,house of character,277500
502,January,MELLIEĦA,apartment,125000
503,January,MELLIEĦA,apartment,254500
504,January,_MailEndComposeĠARR,maisonette,180000
505,January,MĠARR,plot,445000
506,January,MĠARR,character,547000
507,January,MOSTA,apartment,185000
508,January,MOSTA,maisonette,205000
509,January,MOSTA,penthouse,225000
510,January,MOSTA,farmhouse,400000
511,January,MOSTA,house of character,355000
512,January,MOSTA,townhouse,134000
513,January,MOSTA,maisonette,165000
514,January,MOSTA,penthouse,275000
515,January,MOSTA,bungalow,510000
516,January,MOSTA,apartment,165000
517,January,MOSTA,character,385000
518,January,MOSTA,apartment,125000
519,January,MOSTA,character,465000
520,January,MOSTA,character,250000
521,January,MOSTA,house of character,325000
522,January,MOSTA,apartment,157000
523,January,MOSTA,apartment,185000
524,January,MOSTA,apartment,135000
525,January,MOSTA,apartment,145000
526,January,MOSTA,character,685000
527,January,MOSTA,character,485000
528,January,OSTA New,apartment,175000
529,January,MOSTA,character,350000
530,January,MOSTA,apartment,126000
531,January,MOSTA,farmhouse,649000
532,January,MOSTA,bungalow,510000
533,January,MOSTA,house of character,155000
534,January,MOSTA,maisonette,365000
535,January,MOSTA,bungalow,520000
536,January,MOSTA,house of character,330000
537,January,MOSTA,apartment,133000
538,January,MOSTA,apartment,175000
539,January,MOSTA,townhouse,210000
540,January,MOSTA,character,118000
541,January,MOSTA,bungalow,630000
542,January,MQABBA,house of character,85000
543,January,MRIEĦEL,warehouse,900000
544,January,MSIDA,apartment,179000
545,January,MSIDA,apartment,160000
546,January,MSIDA,apartment,190000
547,January,MSIDA,apartment,160000
548,January,MSIDA,maisonettes,116600
549,January,MSIDA,apartment,127000
550,January,MSIDA,apartment,145000
551,January,MSIDA,maisonette,115000
552,January,MSIDA,apartment,225000
553,January,MSIDA,apartment,150000
554,January,MSIDA,apartment,117000
555,January,MSIDA,apartment,145000
556,January,MSIDA,apartment,125000
557,January,MTARFA,house of character,355000
558,January,NAXXAR,penthouse,285000
559,January,NAXXAR,townhouse,138000
560,January,NAXXAR,apartment,175000
561,January,NAXXAR,maisonette,250000
562,January,NAXXAR,character,585000
563,January,NAXXAR,character,495000
564,January,NAXXAR,apartment,115000
565,January,NAXXAR,apartment,130000
566,January,NAXXAR,apartment,109000
567,January,NAXXAR,character,875000
568,January,NAXXAR,house of character,470000
569,January,NAXXAR,character,645000
570,January,NAXXAR,character,585000
571,January,NAXXAR,villa,490000
572,January,NAXXAR,character,585000
573,January,PAOLA,apartment,92000
574,January,PAOLA,warehouse,272500
575,January,PAOLA,maisonette,116000
576,January,PENDER,apartment,449000
577,January,PIETÀ,villa,600000
578,January,PIETÀ,maisonette,110000
579,January,PIETÀ,apartment,143000
580,January,PIETÀ,townhouse,265000
581,January,PIETÀ,apartment,136000
582,January,PORTOMASO,apartment,650000
583,January,QAWRA,penthouse,185000
584,January,QAWRA,penthouse,350000
585,January,QAWRA,bungalow,500000
586,January,QAWRA,penthouse,340000
587,January,QAWRA,apartment,135000
588,January,QAWRA,apartment,95000
589,January,QAWRA,maisonette,126000
590,January,QAWRA,apartment,133000
591,January,QAWRA,apartment,120000
592,January,QAWRA,maisonette,118000
593,January,QAWRA,penthouse,116000
594,January,QAWRA,apartment,180000
595,January,QAWRA,apartment,110000
596,January,QAWRA,plot,395000
597,January,QAWRA,penthouse,325000
598,January,QAWRA,apartment,135000
599,January,QAWRA,apartment,122000
600,January,QAWRA,penthouse,210000
601,January,QORMI,character,207000
602,January,QORMI,apartment,116000
603,January,QORMI,maisonette,175000
604,January,QORMI,character,790000
605,January,QORMI,apartment,109000
606,January,QORMI,penthouse,95000
607,January,QRENDI,character,419000
608,January,QRENDI,character,250000
609,January,QRENDI,townhouse,375000
611,January,RABAT,character,950000
612,January,RABAT,maisonette,62000
613,January,RABAT,penthouse,269000
614,January,RABAT,character,222800
615,January,SAN ĠWANN,house of character,376000
616,January,SAN ĠWANN,apartment,98000
617,January,SAN ĠWANN,apartment,105000
618,January,SAN ĠWANN,villa,699000
619,January,SAN ĠWANN,apartment,130000
620,January,SAN ĠWANN,apartment,149000
621,January,SAN ĠWANN,apartment,125000
622,January,SAN ĠWANN,apartment,99000
623,January,SAN ĠWANN,penthouse,130000
624,January,SAN ĠWANN,apartment,126000
625,January,SAN PAWL,bungalow,950000
626,January,SAN PAWL,plot,1275000
627,January,SAN PAWL,maisonette,266000
628,January,SAN PAWL,maisonette,245000
629,January,SAN PAWL,villa,795000
630,January,SAN PAWL,villa,795000
631,January,SAN PAWL,plot,925000
632,January,SAN PAWL,villa,735000
633,January,SAN PAWL,villa,550000
634,January,SAN PAWL,maisonette,185000
635,January,SAN PAWL,maisonette,329500
636,January,SANTA MARGHERITA,apartment,185000
637,January,SENGLEA,townhouse,178000
638,January,SENGLEA,house of character,420000
639,January,SIĠĠIEWI,apartment,150000
640,January,SIĠĠIEWI,apartment,160000
641,January,SIĠĠIEWI,maisonette,125000
642,January,SIĠĠIEWI,maisonette,235000
643,January,SIĠĠIEWI,apartment,105000
644,January,SIĠĠIEWI,character,215000
645,January,SLIEMA,maisonette,305000
646,January,SLIEMA,apartment,369000
647,January,SLIEMA,townhouse,370000
648,January,SLIEMA,apartment,515000
649,January,SLIEMA,apartment,330000
650,January,SLIEMA,penthouse,465000
651,January,SLIEMA,maisonette,375000
652,January,SLIEMA,apartment,570000
653,January,SLIEMA,townhouse,560000
654,January,SLIEMA,apartment,1290000
655,January,SLIEMA,apartment,850000
656,January,SLIEMA,townhouse,699000
657,January,SLIEMA,townhouse,1400000
658,January,SLIEMA,townhouse,370000
659,January,SLIEMA,townhouse,300000
660,January,SLIEMA,townhouse,300000
661,January,SLIEMA,maisonette,265000
662,January,SLIEMA,apartment,369000
663,January,SLIEMA,penthouse,315000
664,January,SLIEMA,apartment,490000
665,January,SLIEMA,penthouse,315000
666,January,SLIEMA,townhouse,300000
667,January,SLIEMA,apartment,650000
668,January,SLIEMA,apartment,1290000
669,January,SLIEMA,penthouse,315000
670,January,SLIEMA,apartment,700000
671,January,SLIEMA,penthouse,359000
672,January,SLIEMA,penthouse,1150000
673,January,SLIEMA,apartment,650000
674,January,SLIEMA,apartment,485000
675,January,SLIEMA,apartment,318000
676,January,SLIEMA,penthouse,1400000
677,January,SLIEMA,apartment,255000
678,January,SLIEMA,townhouse,340000
679,January,SLIEMA,townhouse,565000
680,January,SLIEMA,townhouse,255000
681,January,SLIEMA,townhouse,340000
682,January,SLIEMA,apartment,265000
683,January,SLIEMA,townhouse,250000
684,January,SLIEMA,penthouse,315000
685,January,SLIEMA,apartment,645000
686,January,ST JULIANS,penthouse,1600000
687,January,ST JULIANS,apartment,325000
688,January,ST JULIANS,penthouse,110000
689,January,ST JULIANS,maisonette,160000
690,January,ST JULIANS,apartment,250000
691,January,ST JULIANS,apartment,165000
692,January,ST JULIANS,apartment,250000
693,January,ST JULIANS,townhouse,385000
694,January,ST JULIANS,apartment,240000
695,January,ST JULIANS,maisonette,259950
696,January,ST JULIANS,maisonette,160000
697,January,ST JULIANS,apartment,160000
698,January,ST JULIANS,penthouse,340000
699,January,ST JULIANS,apartment,160000
700,January,ST PAUL,apartment,2400000
701,January,ST PAUL,apartment,549000
702,January,ST PAUL,apartment,138000
703,January,ST PAUL,penthouse,156000
704,January,ST PAUL,apartment,156000
705,January,ST PAUL,apartment,174000
706,January,ST PAUL,penthouse,175000
707,January,ST PAUL,apartment,195000
708,January,ST PAUL,apartment,585000
709,January,ST VENERA,apartment,170000
710,January,ST VENERA,penthouse,190000
711,January,ST VENERA,apartment,110000
712,January,ST VENERA,maisonette,85000
713,January,ST VENERA,apartment,159450
714,January,ST VENERA,apartment,145000
715,January,ST VENERA,penthouse,130000
716,January,ST VENERA,maisonette,140000
717,January,ST VENERA,townhouse,140000
718,January,ST VENERA,penthouse,140000
719,January,SWATAR,maisonette,152000
720,January,SWATAR,maisonette,205000
721,January,SWIEQI,penthouse,395000
722,January,SWIEQI,apartment,213000
723,January,SWIEQI,apartment,310000
724,January,TA,apartment,168000
725,January,TA,apartment,155000
726,January,TA,plot,75000
727,January,TA,apartment,1200000
728,January,TAL IBRAĠ,maisonette,295000
729,January,TAL IBRAĠ,maisonette,233000
730,January,TAL IBRAĠ,apartment,299000
731,January,TAL IBRAĠ,maisonette,340000
732,January,TAL IBRAĠ,villa,1400000
733,January,TAL IBRAĠ,apartment,385000
734,January,TAL IBRAĠ,apartment,160000
735,January,TAL IBRAĠ,apartment,435000
736,January,TAL IBRAĠ,penthouse,580000
737,January,TAL IBRAĠ,apartment,280000
738,January,TAL IBRAĠ,apartment,250000
739,January,TAL IBRAĠ,apartment,435000
740,January,TAL IBRAĠ,apartment,260000
741,January,TARXIEN,maisonette,38000
742,January,TARXIEN,apartment,90000
743,January,THE,maisonette,266000
744,January,THE,maisonette,260000
745,January,TIGNÉ,apartment,549000
746,January,VALLETTA,maisonette,179000
747,January,VALLETTA,maisonette,266000
748,January,VALLETTA,maisonette,815000
749,January,VICTORIA,bungalow,1500000
750,January,VICTORIA,maisonette,435000
751,January,WARDIJA,villa,3100000
752,January,XEMXIJA,apartment,199000
753,January,XEMXIJA,maisonette,360000
754,January,XGĦAJRA,apartment,277000
755,January,ŻABBAR,apartment,110000
756,January,ŻABBAR,house of character,305000
757,January,ŻABBAR,apartment,82500
758,January,ŻABBAR,penthouse,140000
759,January,ŻABBAR,maisonette,157800
760,January,ŻABBAR,house of character,266500
