,Date_Published,Locality,Type_of_Property,Price
186,January,GOZO MARSALFORN,apartment,140000
187,January,GOZO NADUR,apartments,138000
188,January,GOZO NADUR,apartments,87000
189,January,GOZO NADUR,Maisonette,113000
190,January,GOZO NADUR,house,165000
191,January,GOZO QALA,character,335000
192,January,GOZO QALA,character,275000
194,January,GOZO SANNAT,apartment,78000
196,January,GOZO SANNAT,house,340000
197,January,GOZO SANNAT,maisonette,135000
198,January,GOZO SANNAT,Penthouse,120000
199,January,GOZO SANNAT,house,485000
200,January,GOZO VICTORIA,flat,170000
201,January,GOZO XAGĦRA,farmhouse,285000
202,January,GOZO XAGĦRA,house,330000
203,January,GOZO XAGĦRA,apartment,175000
204,January,GOZO XAGĦRA,apartment,186000
205,January,GOZO XAGĦRA,apartment,102000
206,January,GOZO XAGĦRA,flat,125000
207,January,GOZO ŻEBBUĠ,character,450000
208,January,GOZO ŻEBBUĠ,apartment,210000
210,January,GUARDAMANGIA,apartment,150000
211,January,GUARDAMANGIA,apartment,197000
212,January,GUARDAMANGIA,maisonette,180000
215,January,GUDJA,penthouse,260000
216,January,GUDJA,farmhouse,795000
217,January,GUDJA,farmhouse,795000
218,January,GŻIRA,apartment,310000
219,January,GŻIRA,apartment,285000
220,January,GŻIRA,apartment,489000
221,January,GŻIRA,apartments,225000
222,January,GŻIRA,penthouse,255000
223,January,GŻIRA,apartment,300000
224,January,GŻIRA,penthouse,279000
225,January,GŻIRA,apartment,200
227,January,GŻIRA,apartment,200000
228,January,GŻIRA,penthouse,255000
229,January,GŻIRA,apartments,250000
231,January,ĦAMRUN,maisonette,195000
232,January,ĦAMRUN,apartment,185000
233,January,ĦAMRUN,maisonette,235000
234,January,ĦAMRUN,maisonettes,155000
235,January,ĦAMRUN,apartments,155000
236,January,ĦAMRUN,maisonette,430000
237,January,ĦAMRUN,Townhouse,138000
238,January,IKLIN,villa,2300000
239,January,IKLIN,maisonette,265000
240,January,IKLIN,penthouse,265000
241,January,IKLIN,penthouse,265000
242,January,IKLIN,apartment,196500
243,January,IKLIN,apartments,2600000
244,January,KALKARA,villa,550000
245,January,KALKARA,apartment,175000
246,January,KALKARA,maisonette,170000
247,January,KALKARA,Penthouse,700000
248,January,KAPPARA,villa,1150000
250,January,KAPPARA,maisonette,490000
251,January,KAPPARA,house,455000
252,January,KIRKOP,Character,640000
254,January,LIJA,apartment,290000
255,January,LIJA,maisonette,320000
256,January,LIJA,Townhouse,1200000
258,January,LUQA,character,385000
259,January,LUQA,apartments,160000
260,January,LUQA,penthouse,995000
264,January,MADLIENA,apartment,525000
265,January,MADLIENA,penthouse,495000
267,January,MADLIENA,Penthouse,995000
269,January,MADLIENA,villa,1590000
270,January,MADLIENA,villa,1600000
271,January,MADLIENA,villa,1700000
273,January,MADLIENA,apartment,485000
274,January,MANIKATA,house,575000
275,January,MARSA,maisonette,198000
276,January,MARSACALA,maisonette,175000
277,January,MARSASCALA,penthouse,550000
278,January,MARSASCALA,bungalow,1270000
279,January,MARSASCALA,apartments,180000
280,January,MARSASCALA,apartments,149000
281,January,MARSASCALA,apartment,270000
282,January,MARSASCALA,apartment,234000
283,January,MARSASCALA,maisonette,175000
284,January,MARSASCALA,store,335000
285,January,MARSASCALA,maisonette,320000
287,January,MARSASCALA,apartments,220000
288,January,MARSASCALA,apartment,160000
289,January,MARSASCALA,apartment,158000
291,January,MARSASCALA,maisonette,250000
292,January,MARSASCALA,apartment,245000
293,January,MARSASCALA,maisonette,247000
294,January,MARSASCALA,apartment,195000
295,January,MARSASCALA,apartment,189000
296,January,MARSAXLOKK,Plot,638
297,January,MELLIEĦA,bungalow,1750000
298,January,MELLIEĦA,villa,1370000
299,January,MELLIEĦA,apartments,170000
300,January,MELLIEĦA,apartments,198000
301,January,MELLIEĦA,apartment,212000
302,January,MELLIEĦA,house,476500
303,January,MELLIEĦA,apartment,360000
304,January,MELLIEĦA,apartments,186000
305,January,MELLIEĦA,villa,1250000
306,January,MELLIEĦA,plot,295000
307,January,MELLIEHA,house,250000
308,January,MELLIEĦA,apartment,185000
309,January,MELLIEĦA,maisonette,245000
310,January,MELLIEĦA,maisonette,228000
311,January,MELLIEĦA,House,318000
313,January,MĠARR,Apartment,190000
314,January,MOSTA,villa,800000
315,January,MOSTA,apartments,165000
316,January,MOSTA,Apartment,190000
319,January,MOSTA,townhouse,535000
320,January,MOSTA,maisonette,310000
321,January,MOSTA,townhouse,535000
322,January,MOSTA,apartment,280000
323,January,MOSTA,maisonette,293000
324,January,MOSTA,maisonette,165000
325,January,MOSTA,maisonette,395000
327,January,MOSTA,Penthouse,270
329,January,MOSTA,apartment,195000
330,January,MOSTA,apartment,190000
331,January,MOSTA,apartment,275000
332,January,MOSTA,maisonette,168000
334,January,MOSTA,apartment,281000
336,January,MSIDA,apartments,275000
337,January,MSIDA,Apartments,150000
338,January,MSIDA,maisonette,189000
339,January,MSIDA,apartments,155000
340,January,MSIDA,apartment,125000
341,January,MSIDA,apartment,160000
342,January,MSIDA,apartment,132500
344,January,MSIDA,apartment,165000
345,January,MSIDA,penthouse,155000
346,January,MSIDA,apartment,119000
347,January,NAXXAR,house,595000
348,January,NAXXAR,character,425000
349,January,NAXXAR,house,210000
350,January,NAXXAR,character,375000
351,January,NAXXAR,maisonette,298000
353,January,NAXXAR,house,530000
354,January,NAXXAR,apartment,240000
355,January,NAXXAR,penthouse,325000
356,January,NAXXAR,townhouse,298000
357,January,NAXXAR,townhouse,370000
358,January,NAXXAR,character,425000
359,January,NAXXAR,apartments,200000
360,January,PAOLA,townhouse,169000
361,January,PEMBROKE,House,810000
362,January,PIETÀ,Apartment,199000
363,January,PIETÀ,apartment,200000
364,January,PIETÀ,apartments,178000
365,January,PIETÀ,Maisonette,200000
366,January,PIETÀ,penthouse,265000
368,January,PORTOMASO,apartment,355000
370,January,QAWRA,apartment,117000
371,January,QAWRA,maisonette,170000
372,January,QAWRA,apartment,186000
373,January,QAWRA,apartment,155000
375,January,QAWRA,apartment,170000
376,January,QAWRA,maisonette,330000
377,January,QAWRA,apartment,180000
378,January,QAWRA,apartment,220000
379,January,QAWRA,apartment,176000
380,January,QAWRA,maisonette,215000
381,January,QAWRA,maisonette,225000
382,January,QAWRA,apartment,135000
383,January,QAWRA,apartments,165000
384,January,QORMI,apartments,405000
386,January,QORMI,maisonette,281500
387,January,QORMI,apartment,159000
388,January,QORMI,townhouse,465000
392,January,RABAT,maisonette,377000
393,January,RABAT,character,280000
394,January,SAFI,house,325000
396,January,SAN ĠWANN,apartments,225000
397,January,SAN ĠWANN,Apartment,24900
398,January,SAN ĠWANN,house,480000
399,January,SAN ĠWANN,house,480000
400,January,SAN ĠWANN,apartment,250000
401,January,SAN ĠWANN,house,480000
403,January,SAN ĠWANN,house,480000
404,January,SAN LAWRENZ,apartment,82500
405,January,SAN PAWL,apartment,229000
406,January,SENGLEA,character,150000
407,January,SIĠĠIEWI,apartment,265000
408,January,_Hlk503266347,character,795000
409,January,SIĠĠIEWI,apartment,400000
410,January,SIĠĠIEWI,apartment,180000
411,January,SIĠĠIEWI,maisonette,230000
412,January,SLIEMA,apartment,480000
413,January,_Hlk503266347,maisonette,225000
414,January,_Hlk479148992,townhouse,595000
415,January,SLIEMA,apartment,1650000
419,January,SLIEMA,apartments,1200000
421,January,SLIEMA,apartment,220000
422,January,SLIEMA,apartment,825000
423,January,SLIEMA,townhouse,450000
424,January,SLIEMA,townhouse,450000
426,January,SLIEMA,penthouse,695000
427,January,SLIEMA,apartment,185000
428,January,SLIEMA,penthouse,180000
429,January,SLIEMA,apartment,715000
430,January,SLIEMA,penthouse,395000
431,January,SLIEMA,maisonette,210000
433,January,SLIEMA,apartment,690000
434,January,SLIEMA,Penthouse,330000
435,January,SLIEMA,Penthouse,695000
436,January,SLIEMA,apartment,600000
437,January,SLIEMA,townhouse,550000
438,January,SLIEMA,apartment,899000
439,January,SLIEMA,apartment,970000
440,January,SLIEMA,apartment,760000
441,January,SLIEMA,maisonette,390000
442,January,SLIEMA,apartment,395000
443,January,SLIEMA,apartment,300000
444,January,SLIEMA,penthouse,1300000
447,January,SLIEMA,Townhouse,595000
448,January,SLIEMA,apartment,290000
449,January,SLIEMA,townhouse,600000
450,January,ST JULIANS,apartment,420000
451,January,ST JULIANS,apartment,295000
452,January,ST JULIANS,apartment,380000
454,January,ST JULIANS,Apartment,235000
456,January,ST JULIANS,maisonette,580000
458,January,ST JULIANS,apartments,143000
459,January,ST JULIANS,apartments,372000
460,January,ST JULIANS,apartment,550000
464,January,ST JULIANS,penthouse,980000
466,January,ST JULIANS,apartment,420000
467,January,ST JULIANS,villa,675000
468,January,ST JULIANS,apartment,420000
469,January,ST JULIANS,apartment,365000
471,January,ST PAUL,apartment,390000
472,January,ST PAUL,Apartment,180000
473,January,ST PAUL,apartment,75500
474,January,ST PAUL,penthouse,280000
475,January,ST PAUL,apartment,195000
476,January,ST PAUL,apartment,159000
479,January,ST PAUL,apartment,400000
480,January,ST PAUL,Apartment,195000
481,January,ST PAUL,flat,150000
482,January,ST PAUL,apartment,129000
483,January,ST VENERA,shop,68500
484,January,ST VENERA,apartment,175000
485,January,ST VENERA,penthouse,125000
486,January,ST VENERA,apartment,178000
487,January,ST VENERA,maisonette,172000
489,January,ST VENERA,maisonette,219000
490,January,ST VENERA,Townhouse,285000
491,January,ST VENERA,Townhouse,285000
493,January,SWATAR,Apartments,165000
494,January,SWATAR,apartment,273000
496,January,SWIEQI,apartment,345000
497,January,SWIEQI,apartment,310000
498,January,SWIEQI,apartment,290000
499,January,SWIEQI,maisonette,245000
500,January,SWIEQI,maisonette,695000
501,January,SWIEQI,apartments,400000
502,January,SWIEQI,maisonette,175000
503,January,SWIEQI,apartments,250000
504,January,SWIEQI,villa,699000
505,January,SWIEQI,apartment,299000
506,January,SWIEQI,maisonette,317000
507,January,SWIEQI,maisonette,490000
510,January,TA,Apartment,1400000
511,January,TA,apartment,265000
512,January,TA,apartments,275000
513,January,TAL IBRAĠ,apartment,395000
514,January,TAL IBRAĠ,apartment,450000
515,January,TAL IBRAĠ,maisonette,985000
516,January,TAL IBRAĠ,apartment,395000
517,January,TAL IBRAĠ,Villa,395000
518,January,TAL IBRAĠ,maisonette,358000
519,January,TAL IBRAĠ,apartment,360000
520,January,TAL IBRAĠ,apartment,350000
521,January,TAL IBRAĠ,maisonette,375000
522,January,TAL IBRAĠ,house,550000
523,January,TAL IBRAĠ,house,550000
524,January,TAL IBRAĠ,apartment,360000
525,January,TAL IBRAĠ,apartment,395000
526,January,TAL IBRAĠ,apartment,385000
527,January,TARXIEN,maisonette,300000
528,January,TARXIEN,Penthouse,320000
529,January,TARXIEN,maisonette,315000
530,January,TARXIEN,maisonette,287000
531,January,TARXIEN,maisonette,310000
532,January,TARXIEN,penthouse,330000
534,January,TIGNÈ,apartment,660000
539,January,VALLETTA,maisonette,398000
540,January,VALLETTA,penthouse,850000
541,January,VALLETTA,apartment,285000
542,January,VALLETTA,Maisonette,275000
543,January,VALLETTA,penthouse,190000
544,January,VALLETTA,apartment,450000
545,January,VALLETTA,apartment,450000
546,January,VALLETTA,Plot,785000
548,January,VITTORIOSA,townhouse,433000
549,January,WARDIJA,Plot,720000
550,January,XAGĦRA,Penthouse,110000
551,January,XEMXIJA,apartment,288000
552,January,XEMXIJA,apartments,278000
553,January,XEMXIJA,apartment,175000
554,January,XEMXIJA,Maisonette,170000
555,January,XEWKIJA,Farmhouse,123000
556,January,XGĦAJRA,apartment,425000
557,January,XGĦAJRA,townhouse,135000
558,January,XGĦAJRA,apartment,210000
559,January,ŻABBAR,character,383000
560,January,ŻABBAR,house,450000
561,January,ŻABBAR,maisonette,125000
562,January,ŻABBAR,maisonette,175000
563,January,ŻABBAR,terraced,325000
565,January,ŻABBAR,Plot,360000
566,January,ŻABBAR,penthouse,195000
567,January,ŻABBAR,Plot,125000
568,January,ŻABBAR,penthouse,185000
569,January,ŻABBAR,penthouse,159000
570,January,ŻABBAR,townhouse,260000
571,January,ŻEBBIEGĦ,maisonettes,180000
572,January,ŻEBBIEGĦ,apartments,250000
573,January,ŻEBBIEGĦ,apartment,215000
574,January,ŻEBBIĠĦ,apartments,195000
576,January,ŻEBBUĠ,Farmhouse,360000
577,January,ŻEBBUĠ,maisonette,190000
578,January,ŻEBBUĠ,character,370000
579,January,ŻEBBUĠ,apartments,186000
580,January,ŻEBBUĠ,maisonette,190000
581,January,ŻEBBUĠ,apartment,201000
582,January,ŻEBBUĠ,maisonette,380000
585,January,ŻEJTUN,character,425200
586,January,ŻEJTUN,House,25000
587,January,ŻEJTUN,character,245000
588,January,ŻEJTUN,Penthouse,213000
590,January,ŻURRIEQ,character,365000
591,January,ŻURRIEQ,character,980000
594,January,ŻURRIEQ,character,365000
595,January,ŻURRIEQ,apartment,155000
596,January,ŻURRIEQ,Penthouse,220000
597,January,ŻURRIEQ,townhouse,565000
598,January,ŻURRIEQ,Townhouse,560000
599,January,ŻURRIEQ,maisonette,180000
601,January,GOZO SANNAT,farmhouse,375000
605,January,ST JULIANS,apartment,375000
608,January,GOZO XAGĦRA,farmhouse,600000
609,January,ST JULIANS,apartment,375000
627,January,GOZO XAGĦRA,house,550000
628,January,QORMI,penthouse,och169000
631,January,ATTARD,apartment,och292000
632,January,GOZO QALA,house,220000
633,January,GOZO VICTORIA,apartment,175000
636,January,GŻIRA,apartment,250000
637,January,MARSASCALA,apartment,och179000
638,January,MSIDA,apartments,130000
639,January,MSIDA,apartments,130000
640,January,QORMI,apartment,och158000
641,January,SAN ĠWANN,apartments,235000
645,January,GOZO QALA,apartment,98000
1186,January,GOZO GĦARB,farmhouse,250000
1187,January,SLIEMA,apartment,400000
1190,January,GOZO VICTORIA,maisonette,250000
1192,January,MENSIJA,House,430000
1193,January,RABAT,Restaurant,898000
1194,January,RABAT,Townhouse,285000
1195,January,SLIEMA,apartment,450000
1198,January,XEMXIJA,penthouse,300000
1202,January,GOZO SANNAT,apartment,95000
1234,February,ATTARD,apartment,292000
1235,February,GOZO GĦASRI,farmhouse,680000
1236,February,QORMI,penthouse,169000
1239,January,GOZO SANNAT,house,220000
1240,January,GOZO VICTORIA,farmhouse,385000
1241,January,GOZO XAGĦRA,apartment,125000
1242,January,MARSASCALA,apartment,179000
1243,January,MSIDA,apartments,130000
1244,January,MSIDA,Apartment,155000
1246,January,QAWRA,penthouse,348000
1247,January,QAWRA,apartment,117000
1248,January,SLIEMA,apartment,400000
1251,January,ATTARD,apartment,och292000
1282,February,GOZO GĦASRI,apartment,160000
1284,February,GOZO FONTANA,maisonette,370000
1285,February,GOZO GĦAJNSIELEM,apartment,120000
1286,February,ST JULIANS,apartment,295000
1289,February,TAL IBRAĠ,maisonette,495000
1292,February,GOZO VICTORIA,apartment,125000
1293,February,MARSASCALA,apartment,179000
1295,February,ST JULIANS,apartment,300000
1322,February,GOZO KERCEM,farmhouse,325000
1323,February,KAPPARA,villa,1500000
1326,February,GOZO GĦAJNSIELEM,house,220000
1327,February,GOZO SANNAT,apartment,128000
1328,February,MADLIENA,maisonette,495000
1330,February,QAWRA,penthouse,och348000
1331,February,QAWRA,apartment,153500
1333,February,SLIEMA,townhouse,975000
1334,February,SLIEMA,apartments,645000
1335,February,SLIEMA,apartment,465000
1337,February,_GoBackThree,maisonette,490000
1339,February,GOZO GĦARB,farmhouse,1000000
1344,February,ATTARD,villa,797000
1345,February,ATTARD,villa,550000
1346,February,ATTARD,penthouse,270000
1347,February,ATTARD,apartment,330000
1348,February,ATTARD,maisonette,260000
1349,February,ATTARD,house,650000
1350,February,ATTARD,Bungalow,798000
1351,February,ATTARD,maisonette,320000
1352,February,ATTARD,penthouse,308000
1353,February,ATTARD,bungalow,820000
1356,February,BAĦAR IĊ-ĊAGĦAQ,penthouse,600000
1357,February,BAĦAR IĊ-ĊAGĦAQ,maisonette,310000
1359,February,BAĦAR IĊ-ĊAGĦAQ,apartments,225000
1361,February,BAĦRIJA,penthouse,500000
1363,February,BALZAN,townhouse,515000
1364,February,BALZAN,Apartment,272000
1365,February,BALZAN,Apartment,245000
1366,February,BALZAN,character,645000
1368,February,BALZAN,maisonette,299000
1370,February,BALZAN,apartment,245000
1371,February,BALZAN,Villa,855000
1375,February,BIDNIJA,character,760000
1376,February,BIRGUMA,apartment,375000
1378,February,BIRGUMA,apartment,385000
1379,February,BIRKIRKARA,townhouse,150000
1381,February,BIRKIRKARA,apartment,230000
1382,February,BIRKIRKARA,Apartments,128000
1383,February,BIRKIRKARA,Maisonette,133000
1384,February,BIRKIRKARA,maisonette,180000
1385,February,BIRKIRKARA,maisonette,230000
1386,February,BIRKIRKARA,maisonette,138000
1387,February,BIRKIRKARA,character,640000
1388,February,BIRKIRKARA,character,285000
1389,February,BIRKIRKARA,Townhouse,515000
1392,February,BIRKIRKARA,Townhouse,199000
1393,February,BIRKIRKARA,townhouse,510500
1394,February,BIRŻEBBUĠA,apartment,230000
1396,February,BIRŻEBBUĠA,bungalow,699000
1398,February,BIRŻEBBUĠA,penthouse,895000
1399,February,BIRŻEBBUĠA,bungalow,770000
1402,February,BUĠIBBA,apartment,165000
1403,February,BURMARRAD,maisonette,175000
1404,February,BURMARRAD,apartment,169500
1408,February,COSPICUA,house,675000
1413,February,FGURA,apartments,149000
1414,February,FGURA,maisonette,265000
1415,February,FGURA,maisonette,280000
1416,February,FGURA,maisonette,275000
1417,February,FGURA,maisonette,175000
1419,February,FGURA,maisonette,195000
1422,February,FGURA,Shop,80000
1424,February,FGURA,maisonette,150000
1426,February,FLORIANA,apartment,415000
1427,February,FLORIANA,apartments,477000
1429,February,GOZO GĦAJNSIELEM,apartment,85000
1430,February,GOZO GĦARB,character,350000
1432,February,GOZO MARSALFORN,apartment,68000
1433,February,GOZO NADUR,maisonette,113000
1434,February,GOZO NADUR,apartment,235000
1436,February,GOZO NADUR,character,168000
1437,February,GOZO SAN,apartment,82500
1438,February,GOZO SANNAT,penthouse,120000
1440,February,GOZO SANNAT,townhouse,295000
1441,February,GOZO VICTORIA,apartment,148000
1442,February,GOZO VICTORIA,penthouse,132000
1443,February,GOZO VICTORIA,Shop,20
1444,February,GOZO XAGĦRA,character,225000
1445,February,GOZO XAGĦRA,apartments,118000
1446,February,GOZO XAGĦRA,apartment,139000
1447,February,GOZO XAGĦRA,house,135000
1448,February,GOZO XAGĦRA,farmhouse,280000
1449,February,GOZO ŻEBBUĠ,house,398000
1453,February,GUARDMANGIA,apartment,220000
1454,February,GUARDMANGIA,apartment,125000
1457,February,GUDJA,character,310000
1458,February,GUDJA,house,390000
1459,February,GUDJA,house,390000
1462,February,GŻIRA,apartments,240000
1464,February,GŻIRA,penthouse,180000
1465,February,GŻIRA,apartment,230000
1467,February,GŻIRA,apartment,240000
1469,February,GŻIRA,Penthouse,155000
1471,February,GŻIRA,penthouse,245000
1473,February,GĦADIRA,maisonette,244000
1474,February,GĦARGĦUR,apartment,175000
1475,February,GĦARGĦUR,maisonette,350000
1476,February,GĦARGĦUR,Penthouse,355000
1477,February,GĦARGĦUR,maisonette,287000
1483,February,GĦAXAQ,house,220000
1484,February,GĦAXAQ,penthouse,132000
1486,February,GĦAXAQ,apartment,150000
1487,February,GĦAXAQ,plot,665000
1488,February,ĦAMRUN,apartments,155000
1490,February,ĦAMRUN,Apartment,155000
1491,February,ĦAMRUN,maisonette,99000
1492,February,ĦAMRUN,maisonette,85000
1493,February,ĦAMRUN,maisonette,195000
1494,February,IKLIN,maisonette,325000
1495,February,IKLIN,bungalow,1355000
1498,February,IKLIN,maisonettes,375000
1499,February,KALKARA,villa,550000
1500,February,KALKARA,maisonette,245000
1503,February,KALKARA,maisonette,170000
1504,February,KALKARA,penthouse,575000
1505,February,KALKARA,townhouse,410000
1506,February,KALKARA,Penthouse,575000
1512,February,LUQA,townhouse,330000
1513,February,LUQA,maisonette,495000
1514,February,MADLIENA,Plot,1450000
1515,February,MADLIENA,bungalow,1600000
1517,February,MANIKATA,house,575000
1518,February,MANIKTA,house,575000
1519,February,MARSA,maisonette,198000
1521,February,MARSASCALA,apartment,260000
1522,February,MARSASCALA,Penthouse,298000
1525,February,MARSASCALA,apartment,270000
1526,February,MARSASCALA,bungalow,1270000
1527,February,MARSASCALA,apartment,158000
1528,February,MARSASCALA,store,335000
1529,February,MARSASCALA,apartment,192000
1530,February,MARSASCALA,maisonette,190000
1532,February,MARSASCALA,maisonette,250000
1534,February,MARSASCALA,apartment,212000
1535,February,MARSASCALA,penthouse,550000
1536,February,MARSASCALA,maisonette,175000
1538,February,MARSASCALA,Penthouse,420000
1541,February,MARSASCALA,maisonette,230000
1542,February,MARSASCALA,apartment,254000
1543,February,MARSASCALA,Maisonette,230000
1544,February,MARSAXLOKK,penthouse,372500
1545,February,MARSAXLOKK,apartment,228500
1546,February,MARSAXLOKK,maisonette,230000
1547,February,MARSAXLOKK,villa,717500
1550,February,MELLIEĦA,maisonette,325000
1551,February,MELLIEĦA,apartment,380000
1552,February,MELLIEĦA,penthouse,405000
1554,February,MELLIEĦA,apartment,320000
1555,February,MELLIEĦA,apartment,180000
1556,February,MELLIEĦA,maisonette,315000
1557,February,MELLIEĦA,penthouse,525000
1559,February,MELLIEĦA,maisonette,315000
1560,February,MELLIEĦA,maisonette,305000
1562,February,MELLIEĦA,villa,1000000
1563,February,MELLIEĦA,maisonette,315000
1564,February,MELLIEĦA,maisonette,250000
1565,February,MENSIJA,villa,675000
1566,February,MĠARR,maisonette,295000
1567,February,MOSTA,apartment,220000
1568,February,MOSTA,store,1600000
1569,February,MOSTA,maisonette,425000
1570,February,MOSTA,villa,750000
1571,February,MOSTA,Apartment,245000
1574,February,MOSTA,apartment,199500
1575,February,MOSTA,maisonette,335000
1576,February,MOSTA,apartment,245000
1578,February,MOSTA,maisonette,310000
1580,February,MOSTA,maisonette,210500
1581,February,MOSTA,penthouse,317000
1582,February,MOSTA,Maisonette,292000
1583,February,MOSTA,character,975000
1584,February,MOSTA,apartment,315000
1585,February,MOSTA,Penthouse,450000
1587,February,MOSTA,villa,750000
1588,February,MOSTA,Villa,750000
1590,February,MOSTA,penthouse,535000
1597,February,MOSTA,character,300000
1599,February,MQABBA,character,400000
1601,February,MSIDA,flat,180000
1602,February,MSIDA,Apartment,140000
1604,February,MSIDA,penthouse,155000
1606,February,MSIDA,apartment,250000
1607,February,MSIDA,Apartment,185000
1609,February,_Hlk479148992Studio,apartments,130000
1611,February,MSIDA,apartment,181000
1614,February,NAXXAR,house,420000
